Entrez	Gene Symbol	P-value	Beta
3042	HBM	2e-306	
10767	HBS1L	1e-203	
896	CCND3	4e-68	
28	ABO	3e-50	
5581	PRKCE	4e-36	
7036	TFR2	5e-30	
7203	CCT3	6e-29	
10171	RCL1	3e-24	
23495	TNFRSF13B	1.0000000000000001e-23	
23228	PLCL2	1e-18	
6311	ATXN2	8e-18	
2766	GMPR	2e-17	
10320	IKZF1	2e-16	
7015	TERT	1e-14	
29781	NCAPH2	2e-14	
5629	PROX1	5e-14	
9839	ZEB2	7e-14	
775	CACNA1C	1e-13	
60313	GPBP1L1	8e-13	
50650	ARHGEF3	1e-12	
1950	EGF	1e-12	
25893	TRIM58	2e-12	
23341	DNAJC16	4e-12	
81846	SBF2	7e-12	
2022	ENG	3e-11	
2639	GCDH	4e-11	
2217	FCGRT	6e-11	
26284	ERAL1	9e-11	
7704	ZBTB16	1e-10	
545	ATR	1e-10	
5531	PPP4C	3e-10	
57545	CC2D2A	4e-10	
94	ACVRL1	2e-09	
6708	SPTA1	5e-09	
84941	HSH2D	6e-09	
1723	DHODH	7e-09	
6764	DENND2B	9e-09	
402569	KPNA7	1e-08	
5046	PCSK6	3e-08	
10260	DENND4A	4e-08	
2065	ERBB3	4e-08	
9755	TBKBP1	5e-08	
