Entrez	Gene Symbol	Ensembl ID	P-value
2217	FCGRT	ENSG00000104870	9e-60
85302	FBF1	ENSG00000188878	3e-34
23253	ANKRD12	ENSG00000101745	5.0000000000000005e-22
23166	STAB1	ENSG00000010327	5e-15
608	TNFRSF17	ENSG00000048462	2e-14
23495	TNFRSF13B	ENSG00000240505	3e-14
10788	IQGAP2	ENSG00000145703	9e-14
23102	TBC1D2B	ENSG00000167202	5e-11
29886	SNX8	ENSG00000106266	1e-10
2213	FCGR2B	ENSG00000072694	1e-07
54453	RIN2	ENSG00000132669	2e-07
57623	ZFAT	ENSG00000066827	2e-07
5345	SERPINF2	ENSG00000276838	5e-07
8741	TNFSF13	ENSG00000161955	2e-06
5289	PIK3C3	ENSG00000078142	2e-06
9881	TRANK1	ENSG00000168016	5e-06
8973	CHRNA6	ENSG00000147434	8e-06
8692	HYAL2	ENSG00000068001	2e-05
55667	DENND4C	ENSG00000137145	2e-05
22821	RASA3	ENSG00000280477	3e-05
50615	IL21R	ENSG00000103522	3e-05
8001	GLRA3	ENSG00000145451	4e-05
54855	TENT5C	ENSG00000183508	5e-05
7099	TLR4	ENSG00000136869	6e-05
166929	SGMS2	ENSG00000164023	7e-05
10019	SH2B3	ENSG00000111252	8e-05
