Entrez	Gene Symbol	P-value	Beta
128710	SLX4IP	6.999999999999999e-42	0.2437
1879	EBF1	2.0000000000000003e-34	0.2177
348	APOE	5e-31	0.3753
114881	OSBPL7	5e-31	0.4132
1306	COL15A1	1.0000000000000001e-23	0.1783
100130742	LRRC69	6e-22	0.179
56479	KCNQ5	2e-21	0.1852
10060	ABCC9	7e-20	0.1593
1026	CDKN1A	3e-18	0.1553
65979	PHACTR4	7e-18	0.3016
10413	YAP1	3e-17	0.1537
114991	ZNF618	9e-17	0.1443
340895	MALRD1	4e-16	0.1417
728621	CCDC30	9e-16	0.1941
2696	GIPR	2e-15	0.1718
7329	UBE2I	5e-15	0.2088
9881	TRANK1	6e-15	0.1386
3680	ITGA9	8e-15	0.1376
81619	TSPAN14	1e-14	0.1327
124540	MSI2	2e-14	0.1374
132660	LIN54	4e-14	0.1526
6336	SCN10A	5e-14	0.1315
84251	SGIP1	5e-14	0.1907
10327	AKR1A1	7e-14	0.1293
1906	EDN1	7e-14	0.1319
55785	FGD6	9e-14	0.2026
23019	CNOT1	1e-13	0.1471
84319	CMSS1	1e-13	0.159
7528	YY1	1e-13	0.1323
10254	STAM2	2e-13	0.1304
5768	QSOX1	2e-13	0.1302
7201	TRHR	3e-13	0.143
79901	CYBRD1	4e-13	0.1625
256369	CCDC197	4e-13	0.1369
4544	MTNR1B	6e-13	0.1411
399979	SNX19	8e-13	0.1558
10659	CELF2	1e-12	0.1557
9948	WDR1	6e-12	0.1293
10783	NEK6	7e-12	0.1253
56992	KIF15	1e-11	0.2702
83658	DYNLRB1	2e-11	0.1524
3672	ITGA1	2e-11	0.1399
23181	DIP2A	2e-11	0.151
5139	PDE3A	2e-11	0.1914
85449	KIAA1755	3e-11	0.1164
56984	PSMG2	4e-11	0.1227
6239	RREB1	4e-11	0.1149
54801	HAUS6	4e-11	0.1209
11078	TRIOBP	5e-11	0.1166
4643	MYO1E	5e-11	0.1191
10466	COG5	5e-11	0.2459
3980	LIG3	8e-11	0.1128
23389	MED13L	9e-11	0.1476
389161	ANKUB1	9e-11	0.1236
54877	ZCCHC2	1e-10	0.1184
57489	ODF2L	3e-10	0.1552
23774	BRD1	4e-10	0.2014
1912	PHC2	5e-10	0.1098
64839	FBXL17	1e-09	0.1391
23576	DDAH1	1e-09	0.1278
64094	SMOC2	2e-09	0.1041
23274	CLEC16A	4e-09	0.102
57188	ADAMTSL3	7e-09	0.1075
3624	INHBA	1e-08	0.1146
137682	NDUFAF6	2e-08	0.0966
