Entrez	Gene Symbol	Ensembl ID	P-value
1071	CETP	ENSG00000087237	0.0
345	APOC3	ENSG00000110245	3.71e-125
335	APOA1	ENSG00000118137	6.970000000000001e-79
4318	MMP9	ENSG00000100985	1.73e-77
348	APOE	ENSG00000130203	2.0000000000000003e-64
949	SCARB1	ENSG00000073060	3.13e-44
51085	MLXIPL	ENSG00000009950	1.7499999999999999e-40
90203	SNX21	ENSG00000124104	1.8199999999999999e-40
146894	CD300LG	ENSG00000161649	7.36e-40
9709	HERPUD1	ENSG00000051108	1.58e-38
5049	PAFAH1B2	ENSG00000168092	9.88e-38
5476	CTSA	ENSG00000064601	1.92e-37
337	APOA4	ENSG00000110244	3.66e-37
338	APOB	ENSG00000084674	2.84e-36
9031	BAZ1B	ENSG00000009954	1.7700000000000002e-35
140831	ZSWIM3	ENSG00000132801	3.76e-34
8882	ZPR1	ENSG00000109917	1.17e-31
11183	MAP4K5	ENSG00000012983	9.98e-29
3990	LIPC	ENSG00000166035	4.25e-28
6559	SLC12A3	ENSG00000070915	3.71e-23
5360	PLTP	ENSG00000100979	1.04e-21
22837	COBLL1	ENSG00000082438	3.33e-19
3172	HNF4A	ENSG00000101076	4.07e-19
3931	LCAT	ENSG00000213398	1.23e-18
8567	MADD	ENSG00000110514	1.3e-18
10005	ACOT8	ENSG00000101473	3.45e-17
10062	NR1H3	ENSG00000025434	5.03e-17
90199	WFDC8	ENSG00000158901	5.59e-17
53	ACP2	ENSG00000134575	2.24e-16
280664	WFDC10B	ENSG00000182931	4.31e-16
80212	CCDC92	ENSG00000275035	4.26e-15
57678	GPAM	ENSG00000119927	8.41e-15
5140	PDE3B	ENSG00000152270	1.51e-14
19	ABCA1	ENSG00000165029	1.68e-14
10948	STARD3	ENSG00000131748	4.81e-14
2147	F2	ENSG00000180210	1.26e-13
79797	ZNF408	ENSG00000175213	1.4e-13
63925	ZNF335	ENSG00000198026	3.98e-13
326625	MMAB	ENSG00000139428	5.76e-13
89910	UBE3B	ENSG00000151148	6.69e-13
84226	C2orf16	ENSG00000221843	7.67e-13
4038	LRP4	ENSG00000134569	8.41e-13
23173	METAP1	ENSG00000164024	1.65e-12
9026	HIP1R	ENSG00000130787	2.09e-12
391253	SPINT4	ENSG00000149651	2.33e-12
11321	GPN1	ENSG00000198522	3.43e-12
84106	PRAM1	ENSG00000133246	6.89e-12
55908	ANGPTL8	ENSG00000130173	7.31e-12
2064	ERBB2	ENSG00000141736	8.09e-12
64116	SLC39A8	ENSG00000138821	8.59e-12
10816	SPINT3	ENSG00000101446	9.25e-12
57468	SLC12A5	ENSG00000124140	2.24e-11
84166	NLRC5	ENSG00000140853	2.61e-11
55861	DBNDD2	ENSG00000244274	4.43e-11
23788	MTCH2	ENSG00000285121	5.13e-11
8890	EIF2B4	ENSG00000115211	5.56e-11
283446	MYO1H	ENSG00000174527	7.12e-11
3626	INHBC	ENSG00000175189	9.99e-11
5913	RAPSN	ENSG00000165917	1.4e-10
259240	WFDC9	ENSG00000180205	1.44e-10
4493	MT1E	ENSG00000169715	1.63e-10
54905	CYP2W1	ENSG00000073067	4.55e-10
140825	NEURL2	ENSG00000124257	6.49e-10
158747	MOSPD2	ENSG00000130150	7.75e-10
4023	LPL	ENSG00000175445	7.95e-10
5445	PON2	ENSG00000105854	1.33e-09
4499	MT1M	ENSG00000205364	1.35e-09
196385	DNAH10	ENSG00000281935	1.82e-09
432	ASGR1	ENSG00000141505	1.93e-09
26160	IFT172	ENSG00000138002	2.22e-09
53345	TM6SF2	ENSG00000213996	2.37e-09
83706	FERMT3	ENSG00000149781	2.37e-09
5331	PLCB3	ENSG00000149782	2.45e-09
127	ADH4	ENSG00000198099	2.5e-09
390113	OR4X1	ENSG00000176567	4.01e-09
113201	GOLM2	ENSG00000166734	8.01e-09
89845	ABCC10	ENSG00000124574	9.72e-09
8736	MYOM1	ENSG00000101605	6.81e-08
7450	VWF	ENSG00000110799	1.88e-07
170589	GPHA2	ENSG00000149735	2.31e-07
28511	NKIRAS2	ENSG00000168256	3.55e-07
10863	ADAM28	ENSG00000042980	4.06e-07
