Entrez	Gene Symbol	P-value	Beta
9415	FADS2	1e-200	0.32
8854	ALDH1A2	3e-157	0.114
53345	TM6SF2	1e-108	0.172
2646	GCKR	7e-87	0.082
8882	ZPR1	4e-85	0.117
23042	PDXDC1	7e-74	0.081
85440	DOCK7	3e-63	0.071
23383	MAU2	9.999999999999999e-27	0.21
9388	LIPG	8e-20	0.162
4018	LPA	7e-17	0.063
1952	CELSR2	5e-15	0.038
284058	KANSL1	3e-13	0.036
1559	CYP2C9	2e-11	0.034
57572	DOCK6	5e-11	0.073
1109	AKR1C4	5e-10	0.035
19	ABCA1	2e-09	0.037
6927	HNF1A	2e-09	0.025
221037	JMJD1C	9e-09	0.023
101928243	DARS1-AS1	2e-08	0.025
11079	RER1	2e-08	0.023
