Entrez	Gene Symbol	P-value	Beta
1373	CPS1	0.0	0.535734
2731	GLDC	1e-83	0.0818916
10840	ALDH1L1	3e-23	0.518812
4133	MAP2	1e-22	0.202649
23031	MAST3	7e-16	0.0360687
27229	TUBGCP4	8e-15	0.0925017
26227	PHGDH	3e-13	0.0288318
6540	SLC6A13	3e-12	0.0274123
84059	ADGRV1	4e-12	0.0305824
5746	PTH2R	4e-12	0.105252
4004	LMO1	1e-11	0.0295402
64116	SLC39A8	3e-11	0.0493389
5157	PDGFRL	5e-11	0.0823007
22837	COBLL1	1e-10	0.0262933
1605	DAG1	3e-10	0.028606
389072	PLEKHM3	5e-10	0.0250016
114780	PKD1L2	1e-09	0.0690785
22864	R3HDM2	3e-09	0.0232116
2066	ERBB4	7e-09	0.140595
7453	WARS1	9e-09	0.0229171
825	CAPN3	2e-08	0.0831501
23078	VWA8	2e-08	0.0240122
10599	SLCO1B1	2e-08	0.029752
5468	PPARG	2e-08	0.0335864
4524	MTHFR	2e-08	0.0231927
10301	DLEU1	3e-08	0.0755774
10144	FAM13A	3e-08	0.0239642
1548	CYP2A6	3e-08	0.0218076
3643	INSR	3e-08	0.0250408
