Entrez	Gene Symbol	P-value	Beta
6934	TCF7L2	0.0	0.4027
221895	JAZF1	2.9999999999999995e-70	0.1372
10644	IGF2BP2	5.0000000000000005e-68	0.1437
111	ADCY5	2e-53	0.1432
3784	KCNQ1	8e-53	0.2986
4544	MTNR1B	2e-51	0.1315
5468	PPARG	5.0000000000000005e-37	0.1581
63892	THADA	2e-35	0.1655
5066	PAM	9e-34	0.2186
6928	HNF1B	3.0000000000000003e-31	0.0909
440387	CTRB2	6e-30	0.1727
26086	GPSM1	7e-26	0.0929
80790	CMIP	3e-25	0.0877
286	ANK1	5e-24	0.0915
57178	ZMIZ1	3e-23	0.0785
169792	GLIS3	4.0000000000000004e-23	0.0807
56172	ANKH	1e-21	0.5082
7325	UBE2E2	3e-21	0.0903
2646	GCKR	1e-20	0.0744
3098	HK1	2e-20	0.1213
6480	ST6GAL1	3e-20	0.0721
894	CCND2	4e-20	0.0848
1031	CDKN2C	7e-20	0.1187
54622	ARL15	1e-19	0.0767
2539	G6PD	2e-19	0.3799
9690	UBE3C	3e-19	0.0922
3172	HNF4A	1e-18	0.194
6927	HNF1A	2e-18	0.0683
1607	DGKB	3e-18	0.0881
5738	PTGFRN	4e-17	0.0651
144347	RFLNA	5e-17	0.0659
10125	RASGRP1	5e-17	0.1014
2180	ACSL1	3e-16	0.0926
596	BCL2	4e-16	0.067
3297	HSF1	4e-16	0.0711
6049	RNF6	6e-16	0.075
6314	ATXN7	7e-16	0.0846
53345	TM6SF2	9e-16	0.1197
6907	TBL1X	2e-15	0.05954905
23456	ABCB10	5e-15	0.0635
1395	CRHR2	5e-15	0.0719
5609	MAP2K7	7e-15	0.0628
595	CCND1	1e-14	0.1979
10743	RAI1	1e-14	0.0621
28	ABO	3e-14	0.0616
10144	FAM13A	3e-14	0.0586
5184	PEPD	4e-14	0.0636
80212	CCDC92	5e-14	0.0616
2696	GIPR	1e-13	0.0823
6581	SLC22A3	2e-13	0.0567
10613	ERLIN1	2e-13	0.0584
137682	NDUFAF6	2e-13	0.0569
284217	LAMA1	4e-13	0.0586
23338	JADE2	9e-13	0.0558
5460	POU5F1	9e-13	0.056
6925	TCF4	9e-13	0.1069
3159	HMGA1	1e-12	0.134
4987	OPRL1	3e-12	0.0595
1112	FOXN3	4e-12	0.0564
4853	NOTCH2	7e-12	0.0902
79068	FTO	1e-11	0.0542
896	CCND3	3e-11	0.118805245
7423	VEGFB	3e-11	0.06176792
83986	FAM234A	3e-11	0.0668
54845	ESRP1	5e-11	0.055
55930	MYO5C	5e-11	0.1284
6494	SIPA1	7e-11	0.0718
55164	SHQ1	8e-11	0.102
149420	PDIK1L	8e-11	0.0658
22808	MRAS	8e-11	0.0692
10336	PCGF3	8e-11	0.1313
2113	ETS1	1e-10	0.0641
3672	ITGA1	1e-10	0.0642
2081	ERN1	1e-10	0.1186
79832	QSER1	1e-10	0.1298
84561	SLC12A8	1e-10	0.0497
4154	MBNL1	2e-10	0.0497
2138	EYA1	2e-10	0.0905
7776	ZNF236	3e-10	0.0499
2139	EYA2	3e-10	0.0576
1027	CDKN1B	3e-10	0.0591
55799	CACNA2D3	5e-10	0.1146
50674	NEUROG3	6e-10	0.1171
54801	HAUS6	7e-10	0.0487
55131	RBM28	9e-10	1.5402235
10643	IGF2BP3	1e-09	0.1568
10655	DMRT2	1e-09	0.02544463
90427	BMF	2e-09	0.0538
6904	TBCD	2e-09	0.0519
3643	INSR	2e-09	0.0508
6462	SHBG	2e-09	0.0468
253461	ZBTB38	3e-09	0.1096
59338	PLEKHA1	3e-09	0.0457
23380	SRGAP2	5e-09	0.0465
90268	OTULIN	6e-09	0.032826554
489	ATP2A3	6e-09	0.0469
57602	USP36	8e-09	0.0451
7021	TFAP2B	8e-09	0.0567
57616	TSHZ3	9e-09	0.0462
124995	MRPL10	1e-08	0.0505
7040	TGFB1	1e-08	0.3296
57666	FBRSL1	1e-08	0.0507
8879	SGPL1	1e-08	0.0566
5140	PDE3B	2e-08	0.1434
201780	SLC10A4	2e-08	0.045
2050	EPHB4	3e-08	0.0546
8999	CDKL2	3e-08	0.0473
3425	IDUA	3e-08	0.0552
57673	BEND3	3e-08	0.0454
56605	ERO1B	4e-08	0.02075817
4855	NOTCH4	4e-08	0.0529
283455	KSR2	4e-08	0.0631
1196	CLK2	5e-08	0.046
80312	TET1	1e-07	0.042
8091	HMGA2	2e-07	0.3142
2740	GLP1R	3e-07	0.0919
7292	TNFSF4	5e-07	0.019140126
6239	RREB1	7e-07	0.0516
55206	SBNO1	1e-06	0.0465
115286	SLC25A26	3e-06	0.03362017
133383	SETD9	3e-06	0.0407
22807	IKZF2	4e-06	1.5120599
