Entrez	Gene Symbol	P-value	Beta
1301	COL11A1	6e-19	8.898
729993	SHISA9	8e-12	6.845
1627	DBN1	3e-11	6.633
11343	MGLL	8e-11	6.502
729830	FHIP1A	1e-10	6.409
6925	TCF4	3e-10	6.297
64116	SLC39A8	1e-09	6.114
6854	SYN2	3e-09	5.926
22795	NID2	4e-09	5.906
5592	PRKG1	7e-09	5.788
57544	TXNDC16	7e-09	5.79
401262	CRIP3	8e-09	5.773
80031	SEMA6D	9e-09	5.746
83440	ADPGK	1e-08	5.738
57605	PITPNM2	2e-08	5.608
57805	CCAR2	2e-08	5.655
6498	SKIL	3e-08	5.521
1759	DNM1	3e-08	5.517
26040	SETBP1	4e-08	5.498
254428	SLC41A1	4e-08	5.49
81696	OR5V1	5e-08	5.465
