Entrez	Gene Symbol	Ensembl ID	P-value
11240	PADI2	ENSG00000117115	6.13e-06
55631	LRRC40	ENSG00000066557	1.2e-05
2720	GLB1	ENSG00000170266	1.42e-05
124045	SPATA33	ENSG00000167523	1.76e-05
1967	EIF2B1	ENSG00000111361	1.77e-05
195977	ANTXRL	ENSG00000274209	1.84e-05
389207	GRXCR1	ENSG00000215203	2.4e-05
1620	BRINP1	ENSG00000078725	3.13e-05
55283	MCOLN3	ENSG00000055732	3.46e-05
84947	SERAC1	ENSG00000122335	4.17e-05
80008	TMEM156	ENSG00000121895	4.86e-05
3211	HOXB1	ENSG00000120094	5.42e-05
55930	MYO5C	ENSG00000128833	5.7e-05
283	ANG	ENSG00000214274	6.49e-05
6605	SMARCE1	ENSG00000073584	6.73e-05
8991	SELENBP1	ENSG00000143416	7.71e-05
162427	RETREG3	ENSG00000141699	7.75e-05
84816	RTN4IP1	ENSG00000130347	8.38e-05
23224	SYNE2	ENSG00000054654	8.42e-05
166863	RBM46	ENSG00000151962	8.71e-05
84614	ZBTB37	ENSG00000185278	8.93e-05
63982	ANO3	ENSG00000134343	8.99e-05
752	FMNL1	ENSG00000184922	9.11e-05
