Entrez	Gene Symbol	P-value	Beta
5819	NECTIN2	1e-200	0.343929
8882	ZPR1	1e-200	0.208417
10452	TOMM40	3e-178	0.376716
4023	LPL	1e-157	0.201451
51085	MLXIPL	7e-105	0.146536
2646	GCKR	4e-96	0.096478
51129	ANGPTL4	6e-57	0.257989
7158	TP53BP1	1e-48	0.211163
4018	LPA	8.000000000000001e-39	0.109213
85440	DOCK7	3e-32	0.0561764
221037	JMJD1C	4e-31	0.0527308
8854	ALDH1A2	3e-23	0.0470791
146894	CD300LG	2e-21	0.122481
22837	COBLL1	1e-20	0.0433005
2590	GALNT2	1e-20	0.0433084
57678	GPAM	9e-17	0.0422687
80790	CMIP	1e-15	0.0394049
29958	DMGDH	3e-15	0.0374995
3949	LDLR	3e-13	0.0499288
84870	RSPO3	8e-12	0.0725047
23460	ABCA6	1e-11	0.103951
5340	PLG	2e-11	0.0597685
6804	STX1A	3e-11	0.0697964
64757	MTARC1	3e-11	0.033001
51426	POLK	2e-10	0.0355759
3083	HGFAC	3e-10	0.029509
144347	RFLNA	4e-10	0.0290171
4299	AFF1	8e-10	0.0284646
1952	CELSR2	9e-10	0.0334679
23499	MACF1	1e-09	0.0301172
