Entrez	Gene Symbol	P-value	Beta
602	BCL3	0.0	0.457107
6597	SMARCA4	0.0	0.16537
23624	CBLC	0.0	0.282453
255738	PCSK9	0.0	0.345975
1952	CELSR2	0.0	0.127747
341	APOC1	2e-224	0.246284
8882	ZPR1	9e-138	0.0764264
2646	GCKR	3e-121	0.0495629
57794	SUGP1	3e-121	0.0909955
4018	LPA	3e-111	0.086807
64241	ABCG8	1e-104	0.0481043
3949	LDLR	2e-96	0.0436053
5819	NECTIN2	5e-95	0.208537
3250	HPR	1e-76	0.0495027
343263	MYBPHL	4e-69	0.116409
1762	DMWD	1e-68	0.143974
6580	SLC22A1	4.9999999999999996e-54	0.0632075
28	ABO	3e-53	0.0412279
2524	FUT2	4.0000000000000005e-49	0.0301882
9520	NPEPPS	2e-43	0.028795
85440	DOCK7	3e-43	0.0307165
3117	HLA-DQA1	1e-38	0.0349134
4023	LPL	1e-38	0.0298366
8289	ARID1A	1e-38	0.0900792
432	ASGR1	1e-33	0.0320541
2590	GALNT2	6e-28	0.0232658
79673	ZNF329	6e-27	0.0311931
350	APOH	9e-27	0.0647127
3083	HGFAC	1.9999999999999998e-26	0.0228809
85363	TRIM5	8.999999999999998e-25	0.0415074
5335	PLCG1	7.000000000000001e-24	0.0231647
57523	NYNRIN	2.0000000000000002e-23	0.0210426
2621	GAS6	3e-22	0.0215663
8647	ABCB11	4e-22	0.0222423
6927	HNF1A	5e-22	0.0217273
3122	HLA-DRA	8e-22	0.0245501
8854	ALDH1A2	1e-21	0.0209689
1456	CSNK1G3	2e-21	0.0198862
10349	ABCA10	3e-19	0.0278868
23317	DNAJC13	9e-19	0.0411203
23301	EHBP1	1e-18	0.0196869
150864	FAM117B	2e-18	0.0181103
54918	CMTM6	3e-18	0.0318788
84870	RSPO3	9e-18	0.0179089
60526	LDAH	1e-17	0.0323101
4763	NF1	1e-17	0.0193987
9798	IST1	1e-17	0.0197829
64771	ILRUN	2e-17	0.0276231
5339	PLEC	5e-17	0.0182534
51085	MLXIPL	2e-16	0.0215194
7227	TRPS1	8e-16	0.0186563
55971	BAIAP2L1	3e-15	0.0211918
23203	PMPCA	2e-14	0.0171608
22837	COBLL1	2e-14	0.0162802
63892	THADA	3e-14	0.0159661
22895	RPH3A	1e-13	0.0162457
56261	GPCPD1	1e-13	0.0481624
22864	R3HDM2	1e-13	0.0180585
6101	RP1	1e-13	0.0189638
10274	STAG1	4e-13	0.0161805
9701	PPP6R2	4e-13	0.0158077
80007	C10orf88	5e-13	0.0246753
2039	DMTN	5e-13	0.0211048
949	SCARB1	5e-13	0.0217652
23303	KIF13B	6e-13	0.0569668
55251	PCMTD2	7e-13	0.0189877
7515	XRCC1	8e-13	0.018908
54897	CASZ1	9e-13	0.0155363
2444	FRK	2e-12	0.0149153
25959	KANK2	3e-12	0.0145421
158219	TTC39B	7e-12	0.0185605
338	APOB	8e-12	0.0509845
3172	HNF4A	1e-11	0.0408629
3069	HDLBP	3e-11	0.0143727
84456	L3MBTL3	4e-11	0.0146592
9489	PGS1	6e-11	0.0138506
1548	CYP2A6	6e-11	0.0135934
23369	PUM2	7e-11	0.0161997
65059	RAPH1	7e-11	0.0135798
6517	SLC2A4	1e-10	0.0149639
1284	COL4A2	1e-10	0.0138161
7813	EVI5	1e-10	0.0160289
10400	PEMT	1e-10	0.0284613
4286	MITF	2e-10	0.0140216
5686	PSMA5	2e-10	0.0378458
5662	PSD	2e-10	0.0265471
3777	KCNK3	2e-10	0.0135657
3987	LIMS1	2e-10	0.0187273
2217	FCGRT	3e-10	0.0185312
3098	HK1	3e-10	0.0211293
54502	RBM47	4e-10	0.0149629
6938	TCF12	5e-10	0.0273302
9688	NUP93	5e-10	0.0130731
7436	VLDLR	5e-10	0.0258993
196951	FAM227B	7e-10	0.0130139
57537	SORCS2	7e-10	0.0140374
125	ADH1B	8e-10	0.0388703
91748	MIDEAS	8e-10	0.0145274
9792	SERTAD2	9e-10	0.0139182
259230	SGMS1	2e-09	0.0420929
2335	FN1	2e-09	0.0140874
57535	ELAPOR1	2e-09	0.0619017
79748	LMAN1L	3e-09	0.013972
2186	BPTF	3e-09	0.0168309
783	CACNB2	3e-09	0.0138335
124997	WDR81	4e-09	0.0140411
3482	IGF2R	4e-09	0.0296434
29941	PKN3	5e-09	0.0172496
51097	SCCPDH	6e-09	0.0120957
6876	TAGLN	8e-09	0.0251616
5125	PCSK5	8e-09	0.0122165
63929	XPNPEP3	8e-09	0.0120165
54768	HYDIN	9e-09	0.0259595
23011	RAB21	1e-08	0.0427783
5663	PSEN1	1e-08	0.0188241
10767	HBS1L	1e-08	0.0135094
130399	ACVR1C	1e-08	0.012034
283358	B4GALNT3	1e-08	0.0134361
11269	DDX19B	2e-08	0.024648
80790	CMIP	2e-08	0.0130017
9896	FIG4	2e-08	0.0121567
744	MPPED2	3e-08	0.0119372
10351	ABCA8	3e-08	0.0242963
56731	SLC2A4RG	3e-08	0.0144642
10890	RAB10	3e-08	0.0305106
5747	PTK2	3e-08	0.0118358
286	ANK1	4e-08	0.0316061
57466	SCAF4	4e-08	0.0275587
101928243	DARS1-AS1	4e-08	0.0142232
80310	PDGFD	4e-08	0.0145929
6774	STAT3	4e-08	0.020503
271	AMPD2	5e-08	0.033372
