Entrez	Gene Symbol	P-value	Beta
83851	SYT16	2e-07	0.0602762
22986	SORCS3	2e-07	0.0601236
10403	NDC80	5e-07	0.0694809
9628	RGS6	7e-07	0.11725
116328	C8orf34	8e-07	0.0233691
221935	SDK1	8e-07	0.061485
729993	SHISA9	8e-07	0.0236191
1301	COL11A1	9e-07	0.0252473
55107	ANO1	1e-06	0.134797
23112	TNRC6B	1e-06	0.0218645
5660	PSAP	1e-06	0.0240033
24149	ZNF318	1e-06	0.0221018
2262	GPC5	1e-06	0.116078
342184	FMN1	1e-06	0.0216687
5188	GATB	2e-06	0.0214973
23041	MON2	2e-06	0.021875
5697	PYY	3e-06	0.0422832
151790	WDR49	3e-06	0.0206516
91522	COL23A1	3e-06	0.0346859
320	APBA1	4e-06	0.0240969
4773	NFATC2	4e-06	0.0567062
1740	DLG2	4e-06	0.127664
286133	SCARA5	4e-06	0.0342285
3687	ITGAX	4e-06	0.0224026
5547	PRCP	5e-06	0.0242165
8646	CHRD	6e-06	0.0217828
54715	RBFOX1	6e-06	0.0568696
5579	PRKCB	6e-06	0.0380069
399909	PCNX3	7e-06	0.127561
8945	BTRC	7e-06	0.100277
7535	ZAP70	7e-06	0.0209305
81608	FIP1L1	7e-06	0.147399
729852	UMAD1	7e-06	0.0201054
3705	ITPK1	8e-06	0.113035
5314	PKHD1	8e-06	0.0234914
55106	SLFN12	9e-06	0.142483
64919	BCL11B	1e-05	0.0199653
