Entrez	Gene Symbol	P-value	Beta
775	CACNA1C	2e-15	0.92506
11120	BTN2A1	6e-15	1.14614
9415	FADS2	1e-13	0.93053
221981	THSD7A	1e-13	0.92728
55193	PBRM1	4e-13	1.07004
288	ANK3	1e-11	0.88861
7511	XPNPEP1	2e-11	0.91238
6789	STK4	4e-11	1.07004
22941	SHANK2	1e-10	0.93688
10014	HDAC5	3e-10	1.06652
6671	SP4	6e-10	1.06003
11317	RBPJL	1e-09	1.05908
8379	MAD1L1	2e-09	1.05866
5339	PLEC	2e-09	0.94158
55690	PACS1	2e-09	0.9352
108	ADCY2	2e-09	0.9351
84162	BLTP1	2e-09	0.93885
57519	STARD9	3e-09	1.08567
51678	PALS2	3e-09	0.91211
2286	FKBP2	3e-09	0.9033
5045	FURIN	4e-09	1.05897
8451	CUL4A	4e-09	1.06812
3745	KCNB1	4e-09	0.9462
6196	RPS6KA2	4e-09	0.94592
89	ACTN3	5e-09	1.05601
6137	RPL13	7e-09	0.94459
23635	SSBP2	9e-09	1.06216
9885	OSBPL2	9e-09	0.94677
9455	HOMER2	1e-08	1.06418
2903	GRIN2A	2e-08	0.94582
253782	CERS6	2e-08	1.06375
7067	THRA	2e-08	0.91686
23345	SYNE1	2e-08	0.94677
4482	MSRA	2e-08	0.94488
64919	BCL11B	2e-08	0.94838
284110	GSDMA	3e-08	1.05897
26011	TENM4	3e-08	0.92072
6326	SCN2A	3e-08	1.10838
91584	PLXNA4	4e-08	0.94819
783	CACNB2	4e-08	1.0873
51780	KDM3B	4e-08	0.94242
