Entrez	Gene Symbol	P-value	Beta
1138	CHRNA5	3e-103	1.2974213
1143	CHRNB4	3e-52	1.1972085
11173	ADAMTS7	4.0000000000000006e-34	1.1673486
81037	CLPTM1L	1.9999999999999998e-32	1.1517557
1548	CYP2A6	5e-19	1.1306498
780	DDR1	7e-19	1.1789801
80736	SLC44A4	8e-19	1.1851386
55937	APOM	9e-19	1.1843246
3117	HLA-DQA1	2e-18	1.1690893
7148	TNXB	3e-18	1.1827334
170954	PPP1R18	4e-18	1.1802878
7726	TRIM26	5e-18	1.1875865
675	BRCA2	6e-16	1.6034979
10933	MORF4L1	4e-12	1.0961882
65125	WNK1	6e-12	1.0911875
26289	AK5	3e-11	1.1362852
23047	PDS5B	2e-10	1.4931829
11119	BTN3A1	4e-09	1.1371641
10205	MPZL2	1e-08	1.0693134
10050	SLC17A4	2e-08	1.1250569
80031	SEMA6D	3e-08	1.0702693
10129	FRY	1e-07	1.260481
9253	NUMBL	2e-07	1.0678405
55604	CARMIL1	3e-07	1.1343168
103	ADAR	5e-07	1.1326951
51776	MAP3K20	6e-07	1.0751604
26009	ZZZ3	7e-07	1.1390132
54677	CROT	1e-06	1.3277904
2585	GALK2	1e-06	1.0655863
8626	TP63	1e-06	1.0584221
6101	RP1	2e-06	1.3087933
117155	CATSPER2	2e-06	1.0604849
23087	TRIM35	2e-06	1.1358638
1618	DAZL	2e-06	1.0753014
8648	NCOA1	2e-06	1.064274
79968	WDR76	3e-06	1.0664301
5737	PTGFR	3e-06	1.0657755
8763	CD164	3e-06	1.0622944
1955	MEGF9	3e-06	1.1137654
80230	RUFY1	4e-06	1.0570045
3084	NRG1	4e-06	1.0673686
55144	LRRC8D	4e-06	1.0733533
374986	MIGA1	4e-06	1.136056
256227	STEAP1B	6e-06	1.0574074
6627	SNRPA1	6e-06	1.0730215
64084	CLSTN2	7e-06	1.25974
65062	TMEM237	7e-06	1.0581545
9228	DLGAP2	7e-06	1.0544931
4507	MTAP	9e-06	1.077864
