Entrez	Gene Symbol	P-value	Beta
1191	CLU	6e-34	0.9
10347	ABCA7	9e-31	1.11
54209	TREM2	5e-28	2.43
51338	MS4A4A	3e-24	0.92
83464	APH1B	3e-21	1.12
5379	PMS2P1	1e-18	0.93
3635	INPP5D	1e-18	0.92
57091	CASS4	8e-17	0.89
123041	SLC24A4	2e-15	0.93
6653	SORL1	1e-14	0.85
2185	PTK2B	2e-14	1.07
81619	TSPAN14	4e-14	0.93
51225	ABI3	2e-13	1.35
255426	RASGEF1C	4e-13	1.1
2896	GRN	8e-13	1.07
5336	PLCG2	9e-13	0.94
8448	DOC2A	2e-12	0.94
23607	CD2AP	4e-12	1.06
6688	SPI1	6e-12	1.06
81858	SHARPIN	1e-11	1.12
8440	NCK2	1e-10	1.47
10979	FERMT2	3e-10	1.09
3425	IDUA	6e-10	0.95
10295	BCKDK	9e-10	0.95
351	APP	1e-09	0.95
83855	KLF16	6e-09	1.05
1508	CTSB	7e-09	1.11
7473	WNT3	7e-09	0.94
4311	MME	2e-08	1.15
54941	RNF125	4e-08	0.95
19	ABCA1	4e-08	1.07
9270	ITGB1BP1	5e-08	0.95
221895	JAZF1	1e-07	0.95
729852	UMAD1	2e-07	1.04
3382	ICA1	2e-07	1.07
29760	BLNK	2e-07	0.9
54664	TMEM106B	4e-07	0.96
124997	WDR81	5e-07	1.05
399	RHOH	5e-07	1.05
23683	PRKD3	5e-07	1.06
55759	WDR12	6e-07	0.94
6642	SNX1	9e-07	1.05
1512	CTSH	9e-07	0.94
53373	TPCN1	2e-06	1.08
51168	MYO15A	2e-06	0.94
56731	SLC2A4RG	2e-06	0.95
59338	PLEKHA1	3e-06	0.96
10616	RBCK1	3e-06	0.96
114132	SIGLEC11	4e-06	1.05
10318	TNIP1	4e-06	0.96
56172	ANKH	5e-06	1.07
6272	SORT1	5e-06	1.38
146433	IL34	5e-06	1.06
