Entrez	Gene Symbol	P-value	Beta
653361	NCF1	3e-194	3.098
6775	STAT4	5e-123	1.407
7292	TNFSF4	3e-90	1.368
3092	HIP1	5.999999999999999e-62	2.089
3117	HLA-DQA1	9.999999999999999e-55	1.79
3654	IRAK1	5.999999999999999e-54	1.356
3663	IRF5	5.0000000000000004e-45	1.294
1027	CDKN1B	1e-43	0.637
3120	HLA-DQB2	5e-43	0.745
57705	WDFY4	2e-40	0.81
9474	ATG5	6e-39	0.819
25780	RASGRP3	1e-33	1.287
23534	TNPO3	1.9999999999999998e-32	1.596
3119	HLA-DQB1	5e-31	1.415
2842	GPR19	6.0000000000000005e-31	1.21
113146	AHNAK2	3e-30	0.824
10318	TNIP1	6e-26	1.194
5017	OVOL1	7e-26	1.168
5634	PRPS2	3e-25	1.191
721	C4B	3e-23	1.203
9873	FCHSD2	3e-23	1.291
54887	BLTP3A	3e-22	0.808
1997	ELF1	7e-22	1.183
9569	GTF2IRD1	2e-20	0.667
222696	ZSCAN23	2e-19	1.362
8778	SIGLEC5	2e-18	0.882
6311	ATXN2	7e-18	1.34
23274	CLEC16A	1e-17	1.14
7015	TERT	2e-17	1.132
2965	GTF2H1	3e-17	1.694
7297	TYK2	1e-16	0.674
2117	ETV3	7e-16	1.211
83416	FCRL5	2e-15	0.812
55332	DRAM1	4e-15	1.119
5334	PLCL1	2e-14	1.146
1820	ARID3A	3e-14	0.885
7629	ZNF76	4e-14	1.131
170679	PSORS1C1	3e-13	1.279
5579	PRKCB	1e-12	1.172
200424	TET3	2e-12	1.145
10499	NCOA2	2e-12	0.888
6786	STIM1	2e-12	1.167
2539	G6PD	3e-12	0.778
10125	RASGRP1	3e-12	1.107
84159	ARID5B	3e-12	0.9
92482	BBIP1	3e-12	0.892
100507679	MUC22	4e-12	1.889
170463	SSBP4	4e-12	1.144
7148	TNXB	1e-11	1.815
55892	MYNN	2e-11	1.102
9744	ACAP1	3e-11	1.235
51176	LEF1	4e-11	1.107
60468	BACH2	5e-11	0.906
11274	USP18	6e-11	1.151
10246	SLC17A2	8e-11	1.105
718	C3	1e-10	0.84
3659	IRF1	2e-10	0.905
4299	AFF1	3e-10	0.899
200734	SPRED2	3e-10	0.892
2313	FLI1	4e-10	0.914
9141	PDCD5	5e-10	0.898
10666	CD226	6e-10	1.096
54522	ANKRD16	7e-10	0.855
1445	CSK	7e-10	1.111
1609	DGKQ	8e-10	0.91
7458	EIF4H	8e-10	1.151
4938	OAS1	1e-09	1.11
64072	CDH23	1e-09	0.91
121665	SPPL3	2e-09	1.101
5788	PTPRC	4e-09	0.88
57699	CPNE5	4e-09	1.104
23495	TNFRSF13B	5e-09	0.914
7462	LAT2	6e-09	2.294
22807	IKZF2	6e-09	1.107
169981	SPIN3	7e-09	1.104
29940	DSE	1e-08	0.862
8603	FAM193A	1e-08	1.111
50854	SNHG32	1e-08	0.652
79705	LRRK1	2e-08	0.843
79991	STN1	2e-08	1.172
26034	IPCEF1	2e-08	1.09
3717	JAK2	3e-08	0.915
2191	FAP	3e-08	1.119
96459	FNIP1	4e-08	0.721
7320	UBE2B	4e-08	0.622
100101267	POM121C	2e-07	1.854
