Entrez	Gene Symbol	P-value	Beta
7096	TLR1	4e-114	
3575	IL7R	2e-59	
728294	D2HGDH	1e-58	
23274	CLEC16A	1e-44	
3559	IL2RA	4e-38	
132612	ADAD1	1e-37	
4088	SMAD3	6e-32	
6778	STAT6	2e-27	
84162	BLTP1	1.9999999999999998e-26	
5017	OVOL1	8.000000000000001e-24	
6095	RORA	2e-22	
8826	IQGAP1	3e-22	
6097	RORC	3e-22	
7764	ZNF217	1e-21	
221895	JAZF1	5e-21	
2139	EYA2	1e-19	
5334	PLCL1	3e-19	
6311	ATXN2	4e-19	
60468	BACH2	1e-18	
7292	TNFSF4	4e-18	
121665	SPPL3	3e-17	
51684	SUFU	8e-17	
473	RERE	1e-16	
6565	SLC15A2	2e-16	
84885	ZDHHC12	8e-16	
54806	AHI1	9e-16	
3570	IL6R	1e-15	
2720	GLB1	2e-15	
4026	LPP	6e-15	
54103	GSAP	7e-15	
55509	BATF3	9e-15	
2207	FCER1G	1e-14	
3635	INPP5D	1e-14	
5890	RAD51B	3e-14	
4846	NOS3	4e-14	
284110	GSDMA	5e-14	
4790	NFKB1	5e-14	
864	RUNX3	6e-14	
253461	ZBTB38	7e-14	
26147	PHF19	8e-14	
2308	FOXO1	1e-13	
140685	ZBTB46	2e-13	
9840	TESPA1	7e-13	
56957	OTUD7B	1e-12	
5796	PTPRK	5e-12	
4773	NFATC2	6e-12	
22834	ZNF652	9e-12	
60490	PPCDC	2e-11	
5052	PRDX1	2e-11	
92714	ARRDC1	2e-11	
55843	ARHGAP15	3e-11	
7128	TNFAIP3	4e-11	
943	TNFRSF8	7e-11	
9229	DLGAP1	9e-11	
11201	POLI	1e-10	
7325	UBE2E2	1e-10	
3710	ITPR3	2e-10	
10743	RAI1	2e-10	
4092	SMAD7	2e-10	
64116	SLC39A8	2e-10	
284119	CAVIN1	2e-10	
8792	TNFRSF11A	3e-10	
112869	SGF29	3e-10	
3716	JAK1	3e-10	
1306	COL15A1	5e-10	
168850	ZNF800	6e-10	
57605	PITPNM2	6e-10	
4089	SMAD4	6e-10	
2355	FOSL2	1e-09	
1729	DIAPH1	1e-09	
7008	TEF	1e-09	
116028	RMI2	2e-09	
23293	SMG6	2e-09	
54491	OTULINL	2e-09	
25816	TNFAIP8	2e-09	
5966	REL	3e-09	
79899	PRR5L	3e-09	
54796	BNC2	3e-09	
79893	GGNBP2	4e-09	
22807	IKZF2	4e-09	
4477	MSMB	5e-09	
253558	LCLAT1	6e-09	
94	ACVRL1	7e-09	
7087	ICAM5	7e-09	
6016	RIT1	7e-09	
861	RUNX1	7e-09	
3566	IL4R	8e-09	
63976	PRDM16	8e-09	
23169	SLC35D1	1e-08	
23272	TASOR	1e-08	
10154	PLXNC1	2e-08	
10301	DLEU1	3e-08	
150094	SIK1	3e-08	
51043	ZBTB7B	3e-08	
1788	DNMT3A	3e-08	
64682	ANAPC1	4e-08	
54522	ANKRD16	5e-08	
7813	EVI5	6e-08	
10877	CFHR4	6e-08	
8079	MLF2	7e-08	
221472	FGD2	7e-08	
283234	CCDC88B	7e-08	
23331	TTC28	8e-08	
79890	RIN3	9e-08	
6504	SLAMF1	1e-07	
51057	WDPCP	1e-07	
6704	SPRR2E	1e-07	
5788	PTPRC	1e-07	
8784	TNFRSF18	1e-07	
940	CD28	2e-07	
