Entrez	Gene Symbol	P-value	Beta
8110	DPF3	2e-59	1.22
2034	EPAS1	2e-33	1.14
8379	MAD1L1	3e-29	1.15
26579	MYEOV	9e-20	0.91
2887	GRB10	3e-19	0.85
207	AKT1	4e-19	0.87
472	ATM	5e-18	1.35
3663	IRF5	8e-18	0.91
3784	KCNQ1	3e-17	0.92
7015	TERT	4e-14	1.09
129080	EMID1	6e-14	0.71
23341	DNAJC16	7e-14	0.92
7428	VHL	2e-13	1.86
3619	INCENP	4e-13	1.09
25902	MTHFD1L	2e-12	1.11
54962	TIPIN	2e-12	0.93
8795	TNFRSF10B	2e-12	0.92
255919	CNEP1R1	6e-12	1.08
9839	ZEB2	9e-12	1.16
4648	MYO7B	1e-11	0.93
9185	REPS2	2e-11	1.07
50861	STMN3	4e-11	0.92
2177	FANCD2	9e-11	1.09
285231	FBXW12	1e-10	0.73
160140	C11orf65	2e-10	1.07
340024	SLC6A19	2e-10	1.17
23464	GCAT	2e-10	1.08
140685	ZBTB46	2e-10	0.93
83660	TLN2	3e-10	1.08
11030	RBPMS	4e-10	1.08
7157	TP53	8e-10	1.35
8028	MLLT10	8e-10	1.07
3709	ITPR2	1e-09	1.07
4036	LRP2	3e-09	0.93
51460	SFMBT1	3e-09	1.07
3643	INSR	5e-09	0.94
29781	NCAPH2	5e-09	0.93
5663	PSEN1	5e-09	0.91
949	SCARB1	6e-09	1.06
53349	ZFYVE1	7e-09	0.94
8650	NUMB	1e-08	0.93
6540	SLC6A13	1e-08	0.93
8943	AP3D1	1e-08	1.06
10891	PPARGC1A	2e-08	1.06
7029	TFDP2	2e-08	0.89
2762	GMDS	2e-08	0.94
81615	TMEM163	2e-08	1.06
25913	POT1	2e-08	1.06
1742	DLG4	2e-08	1.1
9156	EXO1	3e-08	1.06
197021	LCTL	3e-08	1.06
23331	TTC28	3e-08	1.19
8850	KAT2B	5e-08	0.94
