Entrez	Gene Symbol	Ensembl ID	P-value
10019	SH2B3	ENSG00000111252	1e-65
142680	SLC34A3	ENSG00000198569	1e-51
84952	CGNL1	ENSG00000128849	2.1e-21
27237	ARHGEF16	ENSG00000130762	8.1e-16
6569	SLC34A1	ENSG00000131183	9.5e-16
9071	CLDN10	ENSG00000134873	2.1e-13
283450	HECTD4	ENSG00000173064	6.9e-13
1591	CYP24A1	ENSG00000019186	2.1e-12
11136	SLC7A9	ENSG00000021488	2.2e-12
4286	MITF	ENSG00000187098	2.9e-12
29842	TFCP2L1	ENSG00000115112	8.9e-11
128821	CST9L	ENSG00000101435	7.3e-10
6654	SOS1	ENSG00000115904	1.6e-09
54502	RBM47	ENSG00000163694	1.7e-09
140628	GATA5	ENSG00000130700	1.4e-08
345	APOC3	ENSG00000110245	1.6e-08
6557	SLC12A1	ENSG00000074803	1.7e-08
6526	SLC5A3	ENSG00000198743	9.6e-08
2886	GRB7	ENSG00000141738	1.3e-07
10725	NFAT5	ENSG00000102908	4e-07
10903	MTMR11	ENSG00000014914	4.1e-07
5739	PTGIR	ENSG00000160013	6.6e-07
7056	THBD	ENSG00000178726	7.5e-07
286256	LCN12	ENSG00000184925	8.5e-07
4036	LRP2	ENSG00000081479	2e-06
92359	CRB3	ENSG00000130545	2.2e-06
