Entrez	Gene Symbol	P-value	Beta
10211	FLOT1	5.0000000000000005e-37	0.5619
54535	CCHCR1	1e-36	0.9997
7920	ABHD16A	6e-24	0.4553
442191	OR14J1	1.0000000000000001e-23	0.563
5987	TRIM27	6e-22	0.5687
717	C2	7e-22	0.4337
7148	TNXB	8e-22	0.4328
6891	TAP2	1e-17	0.8741
3593	IL12B	2e-15	0.2611
84547	PGBD1	3e-12	0.5213
8360	H4C4	2e-10	0.9299
79692	ZNF322	7e-10	0.8888
2191	FAP	3e-09	0.3035
400757	C1orf141	2e-08	0.3183
547	KIF1A	5e-08	0.8597
92949	ADAMTSL1	7e-08	1.8081
65217	PCDH15	1e-07	1.2038
55604	CARMIL1	1e-07	0.3186
26160	IFT172	1e-07	1.0293
26146	TRAF3IP1	1e-07	2.6368
84530	SRRM4	1e-07	1.2357
85413	SLC22A16	2e-07	1.5543
6568	SLC17A1	2e-07	0.8149
5793	PTPRG	2e-07	1.708
4843	NOS2	2e-07	0.2164
11321	GPN1	2e-07	0.9972
79092	CARD14	2e-07	0.1712
9577	BABAM2	3e-07	1.0035
64771	ILRUN	3e-07	1.3163
6631	SNRPC	3e-07	1.3158
23294	ANKS1A	3e-07	1.3141
221336	BEND6	5e-07	1.421
140733	MACROD2	6e-07	1.5712
89927	BMERB1	6e-07	1.2512
64131	XYLT1	8e-07	1.8062
386617	KCTD8	1e-06	1.5957
57117	INTS12	1e-06	0.5092
137682	NDUFAF6	1e-06	1.6157
378884	NHLRC1	1e-06	1.7865
81565	NDEL1	2e-06	1.6463
51400	PPME1	2e-06	1.2281
79961	DENND2D	2e-06	1.5847
285126	DNAJC5G	2e-06	0.8547
7172	TPMT	2e-06	1.7466
7006	TEC	2e-06	0.1782
3983	ABLIM1	2e-06	1.1246
3604	TNFRSF9	3e-06	1.5602
5081	PAX7	3e-06	1.4644
4045	LSAMP	3e-06	1.4508
55103	RALGPS2	3e-06	1.9682
7447	VSNL1	3e-06	2.2057
1501	CTNND2	3e-06	1.1294
2201	FBN2	4e-06	1.5879
815	CAMK2A	4e-06	1.4574
2590	GALNT2	4e-06	1.4319
11245	GPR176	4e-06	0.8275
84899	TMTC4	4e-06	1.0093
283455	KSR2	4e-06	1.0321
23484	LEPROTL1	4e-06	1.2749
256979	SUN3	5e-06	1.6731
3092	HIP1	5e-06	0.8993
79628	SH3TC2	5e-06	1.2053
10043	TOM1	5e-06	1.6514
90134	KCNH7	5e-06	1.0971
115727	RASGRP4	5e-06	1.1376
116840	CNTROB	6e-06	0.599
55289	ACOXL	6e-06	1.5399
5073	PARN	6e-06	1.1903
473	RERE	6e-06	1.768
129684	CNTNAP5	7e-06	2.2755
84895	MIGA2	7e-06	2.3504
26525	IL36RN	7e-06	0.4911
63971	KIF13A	7e-06	1.6245
9873	FCHSD2	7e-06	0.9073
1740	DLG2	7e-06	0.2128
341640	FREM2	8e-06	1.0699
10451	VAV3	8e-06	0.6961
57447	NDRG2	8e-06	0.2591
54777	CFAP46	9e-06	1.3228
7024	TFCP2	9e-06	1.6131
9559	VPS26A	9e-06	1.1878
83449	PMFBP1	9e-06	1.2752
84466	MEGF10	9e-06	1.6004
2166	FAAH	1e-05	1.1345
3270	HRC	1e-05	0.3028
