Entrez	Gene Symbol	P-value	Beta
8882	ZPR1	3e-135	0.166462
4023	LPL	5.999999999999999e-116	0.173451
2646	GCKR	2e-89	0.093551
4018	LPA	4e-57	0.134211
51085	MLXIPL	4e-51	0.102055
51129	ANGPTL4	4e-37	0.207727
63935	PCIF1	6e-23	0.0578531
85440	DOCK7	4e-22	0.0471136
221037	JMJD1C	5e-21	0.0429421
2590	GALNT2	6e-20	0.0426516
7158	TP53BP1	5e-19	0.129054
1374	CPT1A	2e-18	0.0800758
146894	CD300LG	1e-14	0.100354
22837	COBLL1	2e-14	0.0357775
5340	PLG	1e-11	0.0605317
4299	AFF1	2e-11	0.0312028
5819	NECTIN2	2e-11	0.0571657
7439	BEST1	5e-10	0.031033
