Entrez	Gene Symbol	Ensembl ID	P-value
348	APOE	ENSG00000130203	0.0
23624	CBLC	ENSG00000142273	4.24e-109
255738	PCSK9	ENSG00000169174	5.0800000000000007e-79
338	APOB	ENSG00000084674	3.24e-71
5817	PVR	ENSG00000073008	2.8599999999999998e-46
3949	LDLR	ENSG00000130164	1.7900000000000002e-31
343263	MYBPHL	ENSG00000221986	3.44e-26
78992	YIPF2	ENSG00000130733	1.62e-23
53345	TM6SF2	ENSG00000213996	1.34e-22
1463	NCAN	ENSG00000130287	6.610000000000001e-21
728780	ANKDD1B	ENSG00000189045	3.22e-20
10087	CERT1	ENSG00000113163	3.97e-20
64241	ABCG8	ENSG00000143921	4.31e-19
125931	CEACAM20	ENSG00000273777	5.78e-18
64240	ABCG5	ENSG00000138075	1.73e-17
134359	POC5	ENSG00000152359	6.34e-16
23460	ABCA6	ENSG00000154262	3.18e-15
256006	ANKRD31	ENSG00000145700	3.43e-15
284612	SYPL2	ENSG00000143028	6.53e-15
3837	KPNB1	ENSG00000108424	2.34e-13
1952	CELSR2	ENSG00000143126	6.52e-13
353355	ZNF233	ENSG00000159915	2.4e-11
7772	ZNF229	ENSG00000278318	2.73e-11
94039	ZNF101	ENSG00000181896	3.68e-11
7771	ZNF112	ENSG00000062370	6.42e-11
169436	STKLD1	ENSG00000281245	9.07e-11
11129	CLASRP	ENSG00000104859	1.84e-10
11183	MAP4K5	ENSG00000012983	6.11e-10
432	ASGR1	ENSG00000141505	3.48e-09
57523	NYNRIN	ENSG00000205978	5.91e-09
10452	TOMM40	ENSG00000130204	6.63e-09
