Entrez	Gene Symbol	Ensembl ID	P-value
81850	KRTAP1-3	ENSG00000262347	2.87e-08
58527	ABRACL	ENSG00000146386	1.92e-06
90268	OTULIN	ENSG00000154124	6.01e-06
3743	KCNA7	ENSG00000104848	8e-06
80063	ATF7IP2	ENSG00000166669	1.24e-05
4494	MT1F	ENSG00000198417	1.51e-05
23256	SCFD1	ENSG00000092108	1.63e-05
54715	RBFOX1	ENSG00000078328	2.25e-05
9340	GLP2R	ENSG00000065325	2.55e-05
10897	YIF1A	ENSG00000174851	2.6e-05
146956	EME1	ENSG00000154920	2.65e-05
10564	ARFGEF2	ENSG00000124198	3.16e-05
4924	NUCB1	ENSG00000104805	3.3e-05
9486	CHST10	ENSG00000115526	3.97e-05
2039	DMTN	ENSG00000158856	4.42e-05
22874	PLEKHA6	ENSG00000143850	4.48e-05
5818	NECTIN1	ENSG00000110400	5.36e-05
3552	IL1A	ENSG00000115008	5.4e-05
5592	PRKG1	ENSG00000185532	6.13e-05
121274	ZNF641	ENSG00000167528	6.33e-05
201266	SLC39A11	ENSG00000282291	6.36e-05
83752	LONP2	ENSG00000102910	6.36e-05
3586	IL10	ENSG00000136634	6.47e-05
56926	NCLN	ENSG00000125912	7e-05
26160	IFT172	ENSG00000138002	7.05e-05
7441	VPREB1	ENSG00000169575	7.29e-05
9344	TAOK2	ENSG00000149930	8.55e-05
54676	GTPBP2	ENSG00000172432	8.69e-05
54497	HEATR5B	ENSG00000008869	8.96e-05
57473	ZNF512B	ENSG00000196700	9.06e-05
