Entrez	Gene Symbol	P-value	Beta
22837	COBLL1	6e-48	0.027
5468	PPARG	6e-33	0.035
55582	KIF27	1.0000000000000001e-29	0.022
23499	MACF1	5e-28	0.028
3175	ONECUT1	1e-22	0.021
79068	FTO	3e-20	0.018
406	BMAL1	1e-18	0.016
80726	IQCN	4e-18	0.017
84619	ZGPAT	5e-15	0.016
23211	ZC3H4	6e-13	0.014
5184	PEPD	3e-12	0.012
104	ADARB1	4e-11	0.012
6934	TCF7L2	4e-11	0.012
10642	IGF2BP1	2e-10	0.013
7916	PRRC2A	4e-08	0.013
6514	SLC2A2	5e-08	0.012
55118	CRTAC1	1e-07	0.01
9671	WSCD2	2e-07	0.011
23140	ZZEF1	6e-07	0.01
57497	LRFN2	9e-07	0.008
2065	ERBB3	1e-06	0.009
57594	HOMEZ	2e-06	0.01
10144	FAM13A	2e-06	0.009
28	ABO	5e-06	0.009
219402	MTIF3	5e-06	0.009
