Entrez	Gene Symbol	P-value	Beta
6775	STAT4	1e-160	0.267
10786	SLC17A3	1e-58	0.337
7292	TNFSF4	1e-46	0.122
7332	UBE2L3	6.9999999999999995e-40	0.127
9474	ATG5	1e-35	0.103
7297	TYK2	9e-35	0.133
2113	ETS1	3e-33	0.155
55254	TMEM39A	4.999999999999999e-32	0.124
6311	ATXN2	1e-31	0.112
23274	CLEC16A	3.0000000000000003e-31	0.09
57705	WDFY4	1.0000000000000001e-23	0.077
10318	TNIP1	8.000000000000001e-23	0.171
121260	SLC15A4	2e-22	0.119
3385	ICAM3	3e-22	0.097
57661	PHRF1	8e-22	0.112
23294	ANKS1A	3e-19	0.126
55024	BANK1	4e-19	0.07
3687	ITGAX	1e-18	0.086
57514	ARHGAP31	5e-18	0.068
3595	IL12RB2	8e-17	0.085
4482	MSRA	1e-16	0.08
10125	RASGRP1	4e-16	0.073
1609	DGKQ	4e-16	0.078
10666	CD226	7e-16	0.062
54899	PXK	6e-15	0.068
640	BLK	6e-15	0.061
5890	RAD51B	6e-15	0.063
55604	CARMIL1	2e-14	0.068
3575	IL7R	2e-14	0.066
3633	INPP5B	2e-14	0.059
9817	KEAP1	4e-14	0.144
23187	PHLDB1	4e-14	0.058
10590	SCGN	1e-13	0.085
2885	GRB2	2e-13	0.064
4126	MANBA	2e-13	0.057
11283	CYP4F8	3e-13	0.069
5334	PLCL1	3e-13	0.056
60468	BACH2	5e-13	0.089
23057	NMNAT2	1e-12	0.1
260425	MAGI3	1e-12	0.061
6568	SLC17A1	2e-12	0.056
389015	SLC9A4	3e-12	0.061
8986	RPS6KA4	3e-12	0.069
91056	AP5B1	3e-12	0.056
2212	FCGR2A	3e-12	0.069
7128	TNFAIP3	5e-12	0.069
5771	PTPN2	7e-12	0.057
10718	NRG3	2e-11	0.059
7187	TRAF3	3e-11	0.054
3551	IKBKB	5e-11	0.089
7185	TRAF1	5e-11	0.051
84961	FBXL20	6e-11	0.058
115399	LRRC56	9e-11	0.064
3899	AFF3	1e-10	0.051
200734	SPRED2	2e-10	0.049
2626	GATA4	2e-10	0.065
56944	OLFML3	2e-10	0.084
22806	IKZF3	2e-10	0.177
7629	ZNF76	2e-10	0.184
116028	RMI2	2e-10	0.064
340745	LRIT2	4e-10	0.137
2222	FDFT1	5e-10	0.075
4664	NAB1	5e-10	0.056
4249	MGAT5	6e-10	0.051
5141	PDE4A	7e-10	0.061
9657	IQCB1	8e-10	0.054
26275	HIBCH	1e-09	0.048
90355	MACIR	1e-09	0.051
5788	PTPRC	1e-09	0.063
6772	STAT1	1e-09	0.092
6608	SMO	1e-09	0.174
121665	SPPL3	2e-09	0.046
221895	JAZF1	2e-09	0.066
112812	FDX2	3e-09	0.073
222659	PXT1	3e-09	0.052
1130	LYST	4e-09	0.053
2744	GLS	4e-09	0.088
9258	MFHAS1	4e-09	0.076
90459	ERI1	4e-09	0.06
84461	NEURL4	5e-09	0.071
9842	PLEKHM1	6e-09	0.07
79722	ANKRD55	7e-09	0.056
128611	ZNF831	7e-09	0.07
473	RERE	8e-09	0.044
23179	RGL1	9e-09	0.056
1493	CTLA4	1e-08	0.093
309	ANXA6	1e-08	0.051
4905	NSF	1e-08	0.066
3075	CFH	1e-08	0.043
9079	LDB2	2e-08	0.054
22807	IKZF2	2e-08	0.062
57153	SLC44A2	3e-08	0.15
3918	LAMC2	3e-08	0.043
4853	NOTCH2	3e-08	0.064
57118	CAMK1D	3e-08	0.044
57511	COG6	4e-08	0.044
51513	ETV7	4e-08	0.076
60490	PPCDC	5e-08	0.046
