Entrez	Gene Symbol	Ensembl ID	P-value
6755	SSTR5	ENSG00000162009	2.74e-228
3483	IGFALS	ENSG00000099769	3.54e-194
2688	GH1	ENSG00000259384	8.530000000000001e-122
84226	C2orf16	ENSG00000221843	6.06e-85
11321	GPN1	ENSG00000198522	4.25e-82
1109	AKR1C4	ENSG00000198610	6.46e-67
55857	KIZ	ENSG00000088970	2.14e-63
3142	HLX	ENSG00000136630	8.42e-63
113201	GOLM2	ENSG00000166734	4.670000000000001e-56
54832	VPS13C	ENSG00000129003	8.33e-56
55010	PARPBP	ENSG00000185480	1.11e-51
2690	GHR	ENSG00000112964	1.45e-50
7297	TYK2	ENSG00000105397	4.31e-49
125	ADH1B	ENSG00000196616	2.56e-41
9726	ZNF646	ENSG00000167395	5.84e-41
339105	PRSS53	ENSG00000151006	2.7e-40
23036	ZNF292	ENSG00000188994	7.84e-40
8567	MADD	ENSG00000110514	1.51e-39
375519	GJB7	ENSG00000164411	3.74e-39
60676	PAPPA2	ENSG00000116183	1.61e-36
390113	OR4X1	ENSG00000176567	2.48e-36
112755	STX1B	ENSG00000099365	3.9e-36
10062	NR1H3	ENSG00000025434	7.52e-36
64897	C12orf43	ENSG00000157895	1.14e-34
23162	MAPK8IP3	ENSG00000138834	3.4e-34
28983	TMPRSS11E	ENSG00000274058	4.3e-34
350	APOH	ENSG00000091583	1.12e-33
3486	IGFBP3	ENSG00000146674	4.52e-33
5371	PML	ENSG00000140464	8.77e-33
7366	UGT2B15	ENSG00000277132	1.26e-32
80270	HSD3B7	ENSG00000099377	9.48e-32
284358	MAMSTR	ENSG00000176909	4.56e-31
55719	SLF2	ENSG00000119906	3.04e-30
8890	EIF2B4	ENSG00000115211	1.0400000000000001e-29
26291	FGF21	ENSG00000105550	1.48e-29
26160	IFT172	ENSG00000138002	1.15e-28
79023	NUP37	ENSG00000075188	5.08e-28
57585	CRAMP1	ENSG00000007545	2.14e-27
995	CDC25C	ENSG00000158402	3.44e-27
81168	OR8J3	ENSG00000167822	4.01e-26
2524	FUT2	ENSG00000176920	1.08e-25
2147	F2	ENSG00000180210	1.11e-25
390148	OR5W2	ENSG00000187612	1.22e-25
219417	OR8U1	ENSG00000172199	1.73e-25
390152	OR8H3	ENSG00000181761	1.84e-25
79797	ZNF408	ENSG00000175213	2.1e-25
57715	SEMA4G	ENSG00000095539	6.39e-25
219464	OR5T2	ENSG00000262851	7.86e-25
2587	GALR1	ENSG00000166573	8.98e-25
4481	MSR1	ENSG00000038945	9.08e-25
219447	OR5AS1	ENSG00000181785	9.98e-25
126695	KDF1	ENSG00000175707	3.66e-24
51085	MLXIPL	ENSG00000009950	7.48e-24
50940	PDE11A	ENSG00000128655	7.859999999999999e-24
8431	NR0B2	ENSG00000131910	1.2999999999999998e-23
1288	COL4A6	ENSG00000197565	1.42e-23
4990	SIX6	ENSG00000184302	3.37e-23
57337	SENP7	ENSG00000138468	5.15e-23
4038	LRP4	ENSG00000134569	1.24e-22
8471	IRS4	ENSG00000133124	2.26e-22
10990	LILRB5	ENSG00000278437	6.34e-22
51340	CRNKL1	ENSG00000101343	8.9e-22
338557	FFAR4	ENSG00000186188	3.58e-21
387103	CENPW	ENSG00000203760	3.83e-21
284110	GSDMA	ENSG00000167914	7.61e-21
64788	LMF1	ENSG00000103227	7.83e-21
284359	IZUMO1	ENSG00000182264	1.04e-20
254528	MEIOB	ENSG00000162039	1.24e-20
219429	OR4C11	ENSG00000172188	2.03e-20
7559	ZNF12	ENSG00000164631	4.27e-20
26074	CFAP61	ENSG00000089101	1.06e-19
6414	SELENOP	ENSG00000250722	1.62e-19
3717	JAK2	ENSG00000096968	2.59e-19
55279	ZNF654	ENSG00000175105	2.7e-19
64764	CREB3L2	ENSG00000182158	3.21e-19
4018	LPA	ENSG00000198670	5.27e-19
134728	IRAK1BP1	ENSG00000146243	5.41e-19
84277	DNAJC30	ENSG00000176410	7.21e-19
9836	LCMT2	ENSG00000168806	1.43e-18
11015	KDELR3	ENSG00000100196	1.89e-18
10101	NUBP2	ENSG00000095906	2.95e-18
57153	SLC44A2	ENSG00000129353	3.23e-18
5025	P2RX4	ENSG00000135124	4e-18
4988	OPRM1	ENSG00000112038	7.8e-18
8884	SLC5A6	ENSG00000138074	9.35e-18
51187	RSL24D1	ENSG00000137876	1.03e-17
2692	GHRHR	ENSG00000106128	1.07e-17
3383	ICAM1	ENSG00000090339	1.09e-17
54014	BRWD1	ENSG00000185658	2.17e-17
6123	RPL3L	ENSG00000140986	2.73e-17
81889	FAHD1	ENSG00000180185	3.24e-17
2691	GHRH	ENSG00000118702	3.91e-17
9887	SMG7	ENSG00000116698	9.09e-17
9611	NCOR1	ENSG00000141027	1.22e-16
57159	TRIM54	ENSG00000138100	1.24e-16
3083	HGFAC	ENSG00000109758	1.32e-16
378807	CATSPER4	ENSG00000188782	1.57e-16
54536	EXOC6	ENSG00000138190	1.63e-16
54902	TTC19	ENSG00000011295	1.91e-16
3480	IGF1R	ENSG00000140443	2.41e-16
95	ACY1	ENSG00000243989	2.55e-16
84676	TRIM63	ENSG00000158022	3.98e-16
23353	SUN1	ENSG00000164828	6.3e-16
317761	C14orf39	ENSG00000179008	8.65e-16
2346	FOLH1	ENSG00000086205	1.04e-15
27148	STK36	ENSG00000163482	1.11e-15
7701	ZNF142	ENSG00000115568	1.4e-15
51734	MSRB1	ENSG00000198736	1.41e-15
54923	LIME1	ENSG00000203896	1.66e-15
84619	ZGPAT	ENSG00000197114	2.33e-15
389289	ANXA2R	ENSG00000177721	2.94e-15
10598	AHSA1	ENSG00000100591	3.59e-15
124626	ZPBP2	ENSG00000186075	3.84e-15
23051	ZHX3	ENSG00000174306	4.55e-15
29072	SETD2	ENSG00000181555	4.89e-15
79947	DHDDS	ENSG00000117682	5.2e-15
8624	PSMG1	ENSG00000183527	1.58e-14
27030	MLH3	ENSG00000119684	1.87e-14
50939	IMPG2	ENSG00000081148	2.31e-14
2923	PDIA3	ENSG00000167004	2.94e-14
161394	SAMD15	ENSG00000100583	3.21e-14
2948	GSTM4	ENSG00000168765	4.25e-14
80237	ELL3	ENSG00000128886	5.93e-14
7158	TP53BP1	ENSG00000067369	6.34e-14
9031	BAZ1B	ENSG00000009954	6.67e-14
25764	HYPK	ENSG00000242028	6.71e-14
9654	TTLL4	ENSG00000135912	7.39e-14
97	ACYP1	ENSG00000119640	7.87e-14
51073	MRPL4	ENSG00000105364	8.21e-14
55876	GSDMB	ENSG00000073605	9.02e-14
4985	OPRD1	ENSG00000116329	9.63e-14
161497	STRC	ENSG00000242866	1.74e-13
84456	L3MBTL3	ENSG00000198945	1.95e-13
84875	PARP10	ENSG00000178685	2.06e-13
23224	SYNE2	ENSG00000054654	2.12e-13
64147	KIF9	ENSG00000088727	2.16e-13
117155	CATSPER2	ENSG00000166762	2.61e-13
81033	KCNH6	ENSG00000173826	3.24e-13
283093	OR4C12	ENSG00000284255	3.61e-13
285672	SREK1IP1	ENSG00000153006	4.69e-13
23218	NBEAL2	ENSG00000160796	5.5e-13
8099	CDK2AP1	ENSG00000111328	6.08e-13
25970	SH2B1	ENSG00000178188	6.6e-13
5339	PLEC	ENSG00000178209	6.89e-13
11273	ATXN2L	ENSG00000168488	7.36e-13
8644	AKR1C3	ENSG00000196139	7.97e-13
90864	SPSB3	ENSG00000162032	8.84e-13
3626	INHBC	ENSG00000175189	9.44e-13
6911	TBX6	ENSG00000149922	9.67e-13
7050	TGIF1	ENSG00000177426	9.8e-13
403253	OR4A47	ENSG00000237388	1.22e-12
25930	PTPN23	ENSG00000076201	1.22e-12
8448	DOC2A	ENSG00000149927	1.43e-12
1608	DGKG	ENSG00000058866	1.61e-12
5027	P2RX7	ENSG00000089041	1.76e-12
9742	IFT140	ENSG00000187535	1.87e-12
7840	ALMS1	ENSG00000116127	1.92e-12
55218	EXD2	ENSG00000081177	2.06e-12
57519	STARD9	ENSG00000159433	2.35e-12
79696	ZC2HC1C	ENSG00000119703	2.5e-12
29958	DMGDH	ENSG00000132837	2.6e-12
2693	GHSR	ENSG00000121853	2.61e-12
91754	NEK9	ENSG00000119638	3.49e-12
493901	RNASE12	ENSG00000258436	3.53e-12
55421	NCBP3	ENSG00000074356	3.62e-12
57523	NYNRIN	ENSG00000205978	4.35e-12
8446	DUSP11	ENSG00000144048	4.53e-12
2033	EP300	ENSG00000100393	5.15e-12
2907	GRINA	ENSG00000178719	5.17e-12
9894	TELO2	ENSG00000100726	5.76e-12
126	ADH1C	ENSG00000248144	5.91e-12
11180	WDR6	ENSG00000178252	6.52e-12
10948	STARD3	ENSG00000131748	6.88e-12
2064	ERBB2	ENSG00000141736	7.41e-12
51750	RTEL1	ENSG00000258366	7.97e-12
292	SLC25A5	ENSG00000005022	9.31e-12
201294	UNC13D	ENSG00000092929	1.24e-11
283189	OR9G4	ENSG00000262647	1.35e-11
54464	XRN1	ENSG00000114127	1.43e-11
348	APOE	ENSG00000130203	1.44e-11
90933	TRIM41	ENSG00000146063	1.51e-11
6945	MLX	ENSG00000108788	1.56e-11
55576	STAB2	ENSG00000136011	2.13e-11
23365	ARHGEF12	ENSG00000196914	2.16e-11
23334	SZT2	ENSG00000198198	2.35e-11
10645	CAMKK2	ENSG00000110931	2.54e-11
3084	NRG1	ENSG00000157168	2.7e-11
158293	FAM120AOS	ENSG00000188938	3.28e-11
8693	GALNT4	ENSG00000257594	3.72e-11
3953	LEPR	ENSG00000116678	3.84e-11
8379	MAD1L1	ENSG00000002822	4.48e-11
55165	CEP55	ENSG00000138180	4.92e-11
79676	OGFOD2	ENSG00000111325	5.1e-11
4281	MID1	ENSG00000101871	6.23e-11
55911	APOBR	ENSG00000184730	6.45e-11
58499	ZNF462	ENSG00000148143	7.18e-11
22937	SCAP	ENSG00000114650	8.19e-11
2134	EXTL1	ENSG00000158008	8.48e-11
5053	PAH	ENSG00000171759	8.78e-11
54905	CYP2W1	ENSG00000073067	9.44e-11
114	ADCY8	ENSG00000155897	1e-10
54620	FBXL19	ENSG00000099364	1.01e-10
57452	GALNT16	ENSG00000100626	1.03e-10
2539	G6PD	ENSG00000160211	1.03e-10
10695	CNPY3	ENSG00000137161	1.05e-10
23558	WBP2	ENSG00000132471	1.24e-10
56850	GRIPAP1	ENSG00000068400	1.36e-10
5265	SERPINA1	ENSG00000277377	1.52e-10
29948	OSGIN1	ENSG00000140961	1.52e-10
6801	STRN	ENSG00000115808	1.58e-10
6239	RREB1	ENSG00000124782	1.69e-10
3798	KIF5A	ENSG00000155980	1.86e-10
7224	TRPC5	ENSG00000072315	1.89e-10
54407	SLC38A2	ENSG00000134294	2.02e-10
8912	CACNA1H	ENSG00000196557	2.3e-10
79759	ZNF668	ENSG00000167394	2.77e-10
407977	TNFSF12-TNFSF13	ENSG00000248871	3.18e-10
91351	DDX60L	ENSG00000181381	3.47e-10
79841	AGBL2	ENSG00000285501	3.48e-10
255239	ANKK1	ENSG00000170209	3.61e-10
11079	RER1	ENSG00000157916	3.82e-10
22864	R3HDM2	ENSG00000179912	4.06e-10
145741	C2CD4A	ENSG00000198535	4.1e-10
930	CD19	ENSG00000177455	4.22e-10
133746	JMY	ENSG00000152409	4.25e-10
8938	BAIAP3	ENSG00000007516	4.59e-10
1870	E2F2	ENSG00000282899	5.22e-10
6198	RPS6KB1	ENSG00000108443	5.29e-10
9681	DEPDC5	ENSG00000100150	5.3e-10
128	ADH5	ENSG00000197894	5.7e-10
2244	FGB	ENSG00000171564	5.89e-10
8435	SOAT2	ENSG00000167780	6.27e-10
