Entrez	Gene Symbol	P-value	Beta
26032	SUSD5	3e-11	0.436
140733	MACROD2	2e-08	0.504
57521	RPTOR	3e-08	0.542
83478	ARHGAP24	2e-07	0.553
23108	RAP1GAP2	3e-07	0.549
23263	MCF2L	3e-07	0.528
57731	SPTBN4	4e-07	0.546
8495	PPFIBP2	4e-07	0.545
9627	SNCAIP	8e-07	0.584
10783	NEK6	8e-07	0.568
8110	DPF3	9e-07	1.34
219578	ZNF804B	1e-06	0.541
374470	C12orf42	1e-06	0.564
25966	C2CD2	3e-06	0.533
157922	CAMSAP1	3e-06	0.585
23426	GRIP1	4e-06	0.732
80790	CMIP	6e-06	1.35
2960	GTF2E1	7e-06	1.31
51422	PRKAG2	8e-06	0.604
53353	LRP1B	9e-06	0.603
