Entrez	Gene Symbol	P-value	Beta
116519	APOA5	3.0000000000000004e-247	2.66
9388	LIPG	2e-59	1.19
348	APOE	1e-46	1.78
8315	BRAP	4e-46	1.44
217	ALDH2	4e-46	1.44
80018	NAA25	5.999999999999999e-44	1.4
283450	HECTD4	5.999999999999999e-44	1.4
51092	SIDT2	7e-44	1.03
5781	PTPN11	3e-43	1.37
10906	TRAFD1	7e-43	1.35
22895	RPH3A	7.0000000000000006e-34	1.23
23387	SIK3	7.0000000000000015e-31	3.65
948	CD36	3e-29	1.62
23316	CUX2	8.000000000000001e-29	1.06
8854	ALDH1A2	3.9999999999999994e-28	0.98
4940	OAS3	1e-20	1.08
10512	SEMA3C	4e-19	1.46
6311	ATXN2	2e-17	0.66
949	SCARB1	1e-15	0.59
57468	SLC12A5	1e-15	1.36
19	ABCA1	2e-15	0.61
9688	NUP93	6e-15	2.51
54920	DUS2	2e-13	0.75
6560	SLC12A4	2e-13	0.74
7227	TRPS1	2e-13	0.66
53373	TPCN1	3e-13	0.98
2590	GALNT2	3e-13	0.73
80790	CMIP	4e-13	0.55
8437	RASAL1	5e-13	0.81
57678	GPAM	5e-13	0.57
23659	PLA2G15	6e-13	0.73
4775	NFATC3	1e-12	0.72
22897	CEP164	7e-12	1.93
100128927	ZBTB42	7e-12	0.52
1810	DR1	6e-11	0.49
343099	CCDC18	1e-10	0.49
23499	MACF1	4e-10	0.64
4301	AFDN	5e-10	0.59
583	BBS2	6e-10	1.99
4598	MVK	6e-10	0.5
4018	LPA	7e-10	0.45
1435	CSF1	1e-09	0.47
84103	C4orf17	2e-09	0.52
88455	ANKRD13A	2e-09	0.76
84260	TCHP	3e-09	0.75
22823	MTF2	4e-09	0.45
254359	ZDHHC24	3e-08	0.46
3106	HLA-B	3e-08	0.57
2775	GNAO1	3e-08	1.36
6494	SIPA1	4e-08	0.49
6581	SLC22A3	6e-08	0.4
83892	KCTD10	6e-08	0.43
84618	NT5C1A	7e-08	0.64
266743	NPAS4	8e-08	0.43
9753	ZSCAN12	9e-08	0.68
5971	RELB	1e-07	0.42
9031	BAZ1B	2e-07	0.62
221223	CES5A	2e-07	0.61
5184	PEPD	3e-07	0.38
79720	VPS37B	3e-07	0.46
10144	FAM13A	3e-07	0.42
51703	ACSL5	4e-07	0.37
85019	TMEM241	5e-07	0.45
387893	KMT5A	5e-07	0.39
64757	MTARC1	6e-07	0.5
10351	ABCA8	9e-07	0.36
83667	SESN2	9e-07	1.16
6854	SYN2	1e-06	0.83
8780	RIOK3	1e-06	0.44
8567	MADD	2e-06	0.36
9489	PGS1	2e-06	0.35
84959	UBASH3B	2e-06	0.48
283316	CD163L1	2e-06	0.35
98	ACYP2	2e-06	0.35
23161	SNX13	2e-06	0.35
55174	INTS10	2e-06	0.36
1879	EBF1	3e-06	0.69
3295	HSD17B4	3e-06	1.09
221035	REEP3	3e-06	0.36
84749	USP30	4e-06	0.35
10499	NCOA2	4e-06	0.34
80205	CHD9	4e-06	0.34
10198	MPHOSPH9	4e-06	0.36
80059	LRRTM4	5e-06	0.46
4356	MPP3	5e-06	0.53
29887	SNX10	5e-06	0.35
55282	LRRC36	5e-06	0.42
6238	RRBP1	5e-06	0.33
3643	INSR	6e-06	0.33
89970	RSPRY1	6e-06	1.36
22843	PPM1E	6e-06	0.35
6712	SPTBN2	6e-06	0.38
283446	MYO1H	7e-06	0.5
54536	EXOC6	7e-06	0.34
84310	C7orf50	7e-06	0.92
154865	IQUB	7e-06	1.34
220972	MARCHF8	7e-06	0.58
221037	JMJD1C	8e-06	0.33
7813	EVI5	8e-06	0.78
23306	NEMP1	8e-06	0.46
254827	NAALADL2	8e-06	0.63
83729	INHBE	8e-06	0.33
25816	TNFAIP8	9e-06	1.15
57348	TTYH1	9e-06	1.26
4855	NOTCH4	9e-06	0.33
22998	LIMCH1	9e-06	0.49
