Entrez	Gene Symbol	P-value	Beta
6928	HNF1B	0.0	1.22
4477	MSMB	0.0	1.21
354	KLK3	9e-179	1.36
10481	HOXB13	2.0000000000000005e-165	4.32
221895	JAZF1	5e-131	1.15
3856	KRT8	7.9999999999999995e-115	1.18
7015	TERT	6e-111	1.15
222546	RFX6	4e-96	1.11
3655	ITGA6	2e-90	1.22
219931	TPCN2	2e-83	1.1
22853	LMTK2	3e-77	1.1
60678	EEFSEC	5e-65	1.1
63892	THADA	5e-56	1.08
10611	PDLIM5	9.999999999999999e-55	1.08
54847	SIDT1	1e-53	1.08
151449	GDF7	5e-53	1.08
55275	VPS53	2e-52	1.08
56731	SLC2A4RG	5e-47	1.11
50636	ANO7	8e-43	1.1
22834	ZNF652	9e-42	1.13
81603	TRIM8	1e-41	1.07
1107	CHD3	5e-40	1.16
26575	RGS17	9e-40	1.07
27173	SLC39A1	2e-38	1.07
51043	ZBTB7B	3e-33	1.07
79954	NOL10	9e-33	1.06
10979	FERMT2	3e-32	1.09
357	SHROOM2	8.000000000000001e-29	1.05
166824	RASSF6	9.000000000000001e-29	1.15
79083	MLPH	1.9999999999999997e-28	1.07
57666	FBRSL1	8e-27	1.06
26205	GMEB2	1.9999999999999998e-26	1.06
56159	TEX11	3e-26	1.04
27244	SESN1	6e-26	1.08
8813	DPM1	6e-26	1.1
6899	TBX1	1.0000000000000001e-23	1.05
389136	VGLL3	2.0000000000000002e-23	1.05
4650	MYO9B	2.0000000000000002e-23	1.05
63876	PKNOX2	3e-23	1.32
8751	ADAM15	7.000000000000001e-23	1.19
7113	TMPRSS2	8.000000000000001e-23	1.09
395	ARHGAP6	9.000000000000001e-23	1.07
8495	PPFIBP2	2e-22	1.07
3625	INHBB	6e-22	1.08
1488	CTBP2	1e-21	1.06
7157	TP53	8e-21	1.25
57646	USP28	9e-21	1.05
57178	ZMIZ1	1e-20	1.07
253461	ZBTB38	2e-20	1.05
54801	HAUS6	2e-20	1.05
1513	CTSK	3e-20	1.07
55055	ZWILCH	3e-20	1.06
3619	INCENP	3e-20	1.05
257397	TAB3	3e-20	1.04
56946	EMSY	4e-20	1.05
25777	SUN2	4e-20	1.15
23112	TNRC6B	4e-20	1.06
29841	GRHL1	8e-20	1.08
64759	TNS3	1e-19	1.04
5890	RAD51B	2e-19	1.05
27348	TOR1B	3e-19	1.05
143888	POGLUT3	1e-18	1.17
57082	KNL1	2e-18	1.06
91522	COL23A1	1e-17	1.05
10301	DLEU1	1e-17	1.06
54906	TASOR2	2e-17	1.07
54908	SPDL1	2e-17	1.31
23139	MAST2	4e-17	1.05
23094	SIPA1L3	9e-17	1.05
6934	TCF7L2	1e-16	1.04
841	CASP8	1e-16	1.05
4646	MYO6	2e-16	1.05
4739	NEDD9	2e-16	1.04
51057	WDPCP	3e-16	1.21
5493	PPL	6e-16	1.04
55534	MAML3	9e-16	1.04
64771	ILRUN	1e-15	1.04
3915	LAMC1	1e-15	1.04
55833	UBAP2	1e-15	1.04
11200	CHEK2	1e-15	1.64
9289	ADGRG1	3e-15	1.05
27087	B3GAT1	3e-15	1.05
8934	RAB29	4e-15	1.04
2762	GMDS	4e-15	1.04
23185	LARP4B	4e-15	1.06
9807	IP6K1	7e-15	1.05
340419	RSPO2	1e-14	1.04
84456	L3MBTL3	3e-14	1.05
342184	FMN1	4e-14	1.04
2705	GJB1	9e-14	1.03
140893	RBBP8NL	1e-13	1.04
22992	KDM2A	1e-13	1.09
6812	STXBP1	1e-13	1.04
3696	ITGB8	1e-13	1.04
57552	NCEH1	1e-13	1.04
4154	MBNL1	1e-13	1.07
167359	NIM1K	2e-13	1.04
7023	TFAP4	2e-13	1.04
64864	RFX7	2e-13	1.16
55010	PARPBP	3e-13	1.04
92949	ADAMTSL1	3e-13	1.04
8795	TNFRSF10B	4e-13	1.04
7163	TPD52	4e-13	1.04
91433	RCCD1	4e-13	1.05
8379	MAD1L1	4e-13	1.04
5195	PEX14	5e-13	1.04
4087	SMAD2	5e-13	1.04
11201	POLI	1e-12	1.04
8200	GDF5	1e-12	1.04
8743	TNFSF10	2e-12	1.03
5292	PIM1	2e-12	1.04
5583	PRKCH	3e-12	1.04
55328	RNLS	4e-12	1.03
6493	SIM2	4e-12	1.1
57630	SH3RF1	6e-12	1.04
83540	NUF2	1e-11	1.04
57107	PDSS2	1e-11	1.05
7265	TTC1	1e-11	1.03
5931	RBBP7	1e-11	1.03
84451	MAP3K21	1e-11	1.03
146691	TOM1L2	2e-11	1.04
55689	YEATS2	2e-11	1.05
23026	MYO16	2e-11	1.03
145282	MIPOL1	3e-11	1.21
131034	CPNE4	3e-11	1.04
51070	NOSIP	3e-11	1.05
83694	RPS6KL1	3e-11	1.03
