Entrez	Gene Symbol	P-value	Beta
54986	ULK4	3e-112	0.5254
11060	WWP2	2e-85	0.9359
22978	NT5C2	3e-74	0.5641
1012	CDH13	2e-67	0.3522
8943	AP3D1	1e-65	0.5617
50507	NOX4	1e-65	0.3704
2099	ESR1	1e-64	0.4741
8170	SLC14A2	1e-58	0.3572
1021	CDK6	2e-58	0.3014
4624	MYH6	4e-51	0.2669
57419	SLC24A3	7.999999999999999e-50	0.2854
1185	CLCN6	3e-49	0.3444
57608	JCAD	1e-46	0.2769
221692	PHACTR1	2e-44	0.2464
128710	SLX4IP	5e-43	0.2459
9902	MRC2	6.999999999999999e-42	0.2392
7157	TP53	6e-39	1.0582
10428	CFDP1	8.000000000000001e-39	0.2269
1879	EBF1	6e-38	0.2234
783	CACNB2	2e-37	0.2461
10154	PLXNC1	2e-36	0.404
83478	ARHGAP24	1e-35	0.3132
151449	GDF7	1e-35	0.215
5045	FURIN	2e-35	0.2529
51196	PLCE1	1e-33	0.2097
83696	TRAPPC9	1e-33	0.215
143872	ARHGAP42	3e-33	0.2334
23135	KDM6B	6e-33	0.3899
7148	TNXB	7e-33	0.2261
348	APOE	1.9999999999999998e-32	0.3839
5581	PRKCE	1e-31	0.314
23022	PALLD	3.0000000000000003e-31	0.2027
3767	KCNJ11	3.0000000000000003e-31	0.2052
4792	NFKBIA	7.0000000000000015e-31	0.2058
56981	PRDM11	1.0000000000000001e-29	0.2219
54897	CASZ1	6e-29	0.204
481	ATP1B1	8.000000000000001e-29	0.1966
57731	SPTBN4	1.9999999999999997e-28	0.2042
3090	HIC1	6e-28	0.1996
7414	VCL	7e-28	0.1904
93166	PRDM6	8.000000000000001e-28	0.192
51390	AIG1	3e-27	0.1879
7058	THBS2	7e-27	0.2087
3221	HOXC4	9.999999999999999e-27	0.2051
23112	TNRC6B	9.999999999999999e-27	0.2414
58489	ABHD17C	3.9999999999999996e-26	0.1819
2078	ERG	6e-26	1.0212
3643	INSR	3e-25	0.2152
27327	TNRC6A	3e-24	0.2207
57404	CYP20A1	6e-24	0.1766
7482	WNT2B	8.000000000000001e-24	0.3305
3083	HGFAC	1.0000000000000001e-23	0.2914
6575	SLC20A2	2.0000000000000002e-23	0.1821
1306	COL15A1	2.0000000000000002e-23	0.1768
4854	NOTCH3	3e-23	0.2821
23637	RABGAP1	3e-23	0.2616
59269	HIVEP3	5e-23	0.174
8631	SKAP1	1e-22	0.2067
5156	PDGFRA	1e-22	0.2061
100130742	LRRC69	2e-22	0.1795
1398	CRK	3e-22	0.1703
10184	LHFPL2	3e-22	0.1703
4836	NMT1	4e-22	0.1677
65220	NADK	5e-22	0.199
2009	EML1	1e-21	0.1746
10516	FBLN5	2e-21	0.1757
56479	KCNQ5	2e-21	0.1846
984	CDK11B	2e-21	0.2178
10060	ABCC9	5e-21	0.1636
2624	GATA2	6e-21	0.5228
4987	OPRL1	6e-21	0.1664
84301	DDI2	1e-20	0.1767
4289	MKLN1	1e-20	0.1647
7484	WNT9B	2e-20	0.1668
8603	FAM193A	2e-20	0.1715
5076	PAX2	4e-20	0.2505
57139	RGL3	4e-20	0.1688
