Entrez	Gene Symbol	P-value	Beta
84870	RSPO3	1e-280	0.0751932
56776	FMN2	3e-275	0.0825742
65084	TMEM135	2e-253	0.0698379
51384	WNT16	4e-143	0.0793046
23293	SMG6	6e-143	0.0515381
2099	ESR1	9.999999999999999e-139	0.0523445
6424	SFRP4	2e-114	0.0538664
85415	RHPN2	2e-111	0.0856143
4140	MARK3	5e-104	0.0424002
8464	SUPT3H	1e-102	0.0910186
80129	CCDC170	2e-101	0.0728283
53834	FGFRL1	7.0000000000000005e-99	0.0581517
79026	AHNAK	2e-96	0.121144
358	AQP1	2e-89	0.0436084
23705	CADM1	2.9999999999999996e-76	0.0346978
7979	SEM1	1e-74	0.0386692
4041	LRP5	2e-73	0.222758
221895	JAZF1	3e-68	0.0387088
23348	DOCK9	9e-67	0.0348838
7227	TRPS1	1e-65	0.0353684
22904	SBNO2	2e-65	0.0343142
4038	LRP4	3e-63	0.0326915
219931	TPCN2	8e-62	0.031109
11098	PRSS23	9e-61	0.195749
79971	WLS	2e-59	0.0390628
9586	CREB5	2e-59	0.0346923
387755	INSC	8e-59	0.0572259
222255	ATXN7L1	7e-55	0.0303872
389170	LEKR1	4e-53	0.0378865
7482	WNT2B	4e-53	0.0394526
29	ABR	4e-53	0.030753
2037	EPB41L2	9e-50	0.0309682
54828	BCAS3	2e-48	0.04326
653	BMP5	6e-48	0.0524247
2138	EYA1	9e-47	0.0306935
2058	EPRS1	6e-45	0.0340613
23051	ZHX3	7e-45	0.0326309
168850	ZNF800	7e-45	0.0934927
5396	PRRX1	1e-44	0.025806
26059	ERC2	4e-44	0.0404805
3632	INPP5A	1e-43	0.0307252
4088	SMAD3	3e-43	0.0256494
64231	MS4A6A	1e-41	0.0254317
6934	TCF7L2	3e-41	0.0307313
9033	PKD2L1	4e-41	0.0333491
10014	HDAC5	2e-40	0.0287614
473	RERE	5e-40	0.0259872
4299	AFF1	8e-40	0.0250027
283358	B4GALNT3	3e-39	0.0247807
2139	EYA2	8.000000000000001e-39	0.0279914
5727	PTCH1	9e-39	0.0252773
80790	CMIP	2e-38	0.0241986
84316	NAA38	2e-38	0.045626
8792	TNFRSF11A	6e-38	0.0277399
182	JAG1	1e-37	0.0463014
135228	CD109	1e-37	0.0234713
23187	PHLDB1	2e-37	0.0273616
5576	PRKAR2A	3e-37	0.0470703
9423	NTN1	1e-36	0.031718
1601	DAB2	2e-36	0.0266526
9252	RPS6KA5	2e-36	0.0310889
10082	GPC6	8e-35	0.114206
3207	HOXA11	5e-34	0.0797972
55553	SOX6	1e-33	0.0259287
90025	UBE3D	2e-33	0.0240497
79948	PLPPR3	8e-33	0.0229178
2070	EYA4	8e-33	0.0221934
83478	ARHGAP24	1.9999999999999998e-32	0.0310197
55532	SLC30A10	4.999999999999999e-32	0.0223041
650	BMP2	1e-31	0.0419288
143098	MPP7	1e-31	0.0308392
6764	DENND2B	5e-31	0.0287299
84898	PLXDC2	7.0000000000000015e-31	0.0293592
652	BMP4	5.0000000000000004e-29	0.0280415
56916	SMARCAD1	7.000000000000001e-29	0.0263959
832	CAPZB	1.9999999999999997e-28	0.0205814
85461	TANC1	3e-28	0.0211363
2690	GHR	3.9999999999999994e-28	0.0204301
84133	ZNRF3	3.9999999999999994e-28	0.0249451
10801	SEPTIN9	5e-28	0.0212874
3269	HRH1	8.000000000000001e-28	0.0266977
8660	IRS2	8.000000000000001e-28	0.0217744
25791	NGEF	9e-28	0.0201148
653319	MATCAP1	1e-27	0.0625418
5151	PDE8A	2e-27	0.0453589
115	ADCY9	5e-27	0.0276209
1021	CDK6	5e-27	0.0214646
1879	EBF1	1.9999999999999998e-26	0.0275821
389400	GFRAL	1.9999999999999998e-26	0.0226177
4092	SMAD7	3e-26	0.0199009
79068	FTO	4.9999999999999996e-26	0.019986
4313	MMP2	4.9999999999999996e-26	0.0223341
4054	LTBP3	7e-26	0.0246651
64855	NIBAN2	9e-26	0.0231404
57722	IGDCC4	3e-25	0.0248059
8777	MPDZ	3e-25	0.0431446
10477	UBE2E3	3e-25	0.020724
80114	BICC1	5e-25	0.0191574
5581	PRKCE	5e-25	0.0219015
9516	LITAF	7.9999999999999985e-25	0.0198491
221178	SPATA13	7.9999999999999985e-25	0.0334372
1788	DNMT3A	3e-24	0.0197448
7709	ZBTB17	5e-24	0.0305809
148479	PHF13	6e-24	0.0195791
169981	SPIN3	8.000000000000001e-24	0.0226915
8312	AXIN1	9e-24	0.0190403
4684	NCAM1	1.0000000000000001e-23	0.0317407
5586	PKN2	1.0000000000000001e-23	0.0188777
23092	ARHGAP26	1.0000000000000001e-23	0.0256246
8091	HMGA2	2.0000000000000002e-23	0.0231749
2788	GNG7	3e-23	0.019781
54796	BNC2	6e-23	0.0231928
5909	RAP1GAP	1e-22	0.0181436
23345	SYNE1	2e-22	0.018118
6507	SLC1A3	2e-22	0.0234086
55752	SEPTIN11	2e-22	0.0244496
55297	CCDC91	8e-22	0.0212419
8611	PLPP1	1e-21	0.0305363
253461	ZBTB38	1e-21	0.0177973
26230	TIAM2	1e-21	0.0249816
558	AXL	1e-21	0.017988
3607	FOXK2	4e-21	0.0176616
56955	MEPE	4e-21	0.0257216
775	CACNA1C	6e-21	0.0241509
4255	MGMT	8e-21	0.0189836
6546	SLC8A1	1e-20	0.0221091
5915	RARB	1e-20	0.0221678
10447	FAM3C	2e-20	0.0511514
118663	BTBD16	2e-20	0.017101
27303	RBMS3	4e-20	0.0241807
6522	SLC4A2	4e-20	0.0192471
342035	GLDN	5e-20	0.019483
25827	FBXL2	6e-20	0.0858988
6340	SCNN1G	1e-19	0.0182241
7471	WNT1	1e-19	0.112609
55007	FAM118A	1e-19	0.0191834
162	AP1B1	2e-19	0.0309925
3308	HSPA4	2e-19	0.0196744
2308	FOXO1	2e-19	0.0423875
64359	NXN	2e-19	0.0180728
120114	FAT3	2e-19	0.0172034
89795	NAV3	3e-19	0.017468
1316	KLF6	4e-19	0.0169809
131405	TRIM71	5e-19	0.0165522
9902	MRC2	6e-19	0.0177336
64388	GREM2	8e-19	0.133808
2487	FRZB	8e-19	0.0186238
84708	LNX1	1e-18	0.0228576
8671	SLC4A4	1e-18	0.0251348
84444	DOT1L	1e-18	0.0166298
4627	MYH9	1e-18	0.0363772
5805	PTS	2e-18	0.0233552
57597	BAHCC1	2e-18	0.0196552
11278	KLF12	2e-18	0.0184783
23405	DICER1	3e-18	0.0286057
54751	FBLIM1	3e-18	0.0220522
317761	C14orf39	4e-18	0.0166516
83938	LRMDA	6e-18	0.0213869
121340	SP7	7e-18	0.017072
2762	GMDS	7e-18	0.0185608
440574	MICOS10	1e-17	0.0157776
9101	USP8	1e-17	0.0352912
81578	COL21A1	2e-17	0.0362672
5664	PSEN2	2e-17	0.0155933
23491	CES3	2e-17	0.0223278
4211	MEIS1	3e-17	0.0180312
23418	CRB1	3e-17	0.0158744
9722	NOS1AP	4e-17	0.0162849
1608	DGKG	5e-17	0.0169692
152485	ZNF827	5e-17	0.0158204
3976	LIF	5e-17	0.0900391
1503	CTPS1	5e-17	0.0186918
10336	PCGF3	6e-17	0.0869218
6913	TBX15	6e-17	0.0168805
92949	ADAMTSL1	6e-17	0.0588142
3237	HOXD11	6e-17	0.0174866
144608	C12orf60	7e-17	0.0157747
23389	MED13L	8e-17	0.0180998
399909	PCNX3	9e-17	0.0160437
63892	THADA	1e-16	0.0245601
84440	RAB11FIP4	1e-16	0.0160911
27115	PDE7B	1e-16	0.0233602
85377	MICALL1	1e-16	0.0162358
5430	POLR2A	1e-16	0.0160772
9489	PGS1	2e-16	0.0154141
1301	COL11A1	3e-16	0.0153855
55084	SOBP	3e-16	0.0237645
26052	DNM3	3e-16	0.0201441
9701	PPP6R2	4e-16	0.0161576
162282	ANKFN1	5e-16	0.016589
5468	PPARG	5e-16	0.0153392
84251	SGIP1	6e-16	0.0163985
10867	TSPAN9	6e-16	0.0151563
79927	FAM110D	7e-16	0.0157956
324	APC	7e-16	0.0149506
4093	SMAD9	7e-16	0.0174762
144347	RFLNA	9e-16	0.0152876
54878	DPP8	1e-15	0.0544394
51477	ISYNA1	1e-15	0.0154134
54361	WNT4	2e-15	0.0275037
9780	PIEZO1	2e-15	0.0155231
3672	ITGA1	2e-15	0.028042
2796	GNRH1	2e-15	0.0169969
3700	ITIH4	2e-15	0.0185976
129852	C2orf73	3e-15	0.0174816
9867	PJA2	3e-15	0.0148118
25814	ATXN10	3e-15	0.0367188
3728	JUP	3e-15	0.0687204
6307	MSMO1	4e-15	0.015898
4784	NFIX	4e-15	0.0383698
10371	SEMA3A	4e-15	0.0187487
7077	TIMP2	4e-15	0.0154397
84456	L3MBTL3	5e-15	0.0167935
63876	PKNOX2	6e-15	0.0146179
8600	TNFSF11	6e-15	0.043973
6604	SMARCD3	6e-15	0.0143955
79974	CPED1	7e-15	0.0246306
10529	NEBL	7e-15	0.0146505
9889	ZBED4	8e-15	0.022861
389072	PLEKHM3	9e-15	0.029435
253827	MSRB3	9e-15	0.0154664
6462	SHBG	1e-14	0.0870928
4223	MEOX2	1e-14	0.016773
57520	HECW2	1e-14	0.0174532
56311	ANKRD7	1e-14	0.0387247
201163	FLCN	1e-14	0.0143663
25865	PRKD2	1e-14	0.0208319
463	ZFHX3	2e-14	0.0144254
128710	SLX4IP	2e-14	0.0157694
4772	NFATC1	2e-14	0.0239493
377	ARF3	2e-14	0.0439035
8313	AXIN2	3e-14	0.0141884
153129	SLC38A9	3e-14	0.0344123
596	BCL2	4e-14	0.0141786
9112	MTA1	4e-14	0.0168721
4836	NMT1	5e-14	0.0140202
6776	STAT5A	5e-14	0.0151283
10644	IGF2BP2	5e-14	0.0149742
5467	PPARD	5e-14	0.0375937
2043	EPHA4	6e-14	0.0138016
