Entrez	Gene Symbol	P-value	Beta
152110	NEK10	1e-18	1.1053
57591	MRTFA	4e-16	1.1558021
2099	ESR1	6e-16	1.0945709
79068	FTO	3e-14	1.0901
8028	MLLT10	3e-13	1.0887316
124359	CDYL2	8e-12	1.0952903
1879	EBF1	1e-11	1.078
5890	RAD51B	4e-11	1.0875
166968	MIER3	5e-11	1.0933
84319	CMSS1	4e-10	1.0731916
3174	HNF4G	7e-10	1.1225865
5083	PAX9	2e-09	1.0873
348980	HCN1	3e-09	1.0813
57178	ZMIZ1	4e-09	1.0778
79915	ATAD5	6e-09	1.0768
23331	TTC28	8e-09	1.3493456
83734	ATG10	3e-08	1.0743446
196951	FAM227B	3e-08	1.0638
595	CCND1	3e-08	1.2291052
4905	NSF	5e-08	1.078
11101	ATE1	5e-08	1.1305822
55603	TENT5A	8e-08	1.0731916
11086	ADAM29	2e-07	1.0778185
440193	CCDC88C	2e-07	1.0626993
23095	KIF1B	5e-07	1.3374349
10903	MTMR11	5e-07	1.0584251
129080	EMID1	5e-07	1.2458
23612	PHLDA3	6e-07	1.1191941
54900	LAX1	7e-07	1.1304545
92747	BPIFB1	8e-07	1.0935
23414	ZFPM2	8e-07	1.0680337
