Entrez	Gene Symbol	P-value	Beta
160851	DGKH	9.999999999999999e-27	0.1227
204474	PDILT	3e-22	0.136
2646	GCKR	6e-17	0.0965
7021	TFAP2B	2e-15	0.1043
8527	DGKD	8e-15	0.0893
27156	RSPH14	1e-12	0.1427
256764	WDR72	2e-12	0.0843
9429	ABCG2	5e-12	0.0971
57619	SHROOM3	6e-11	0.084
9071	CLDN10	5e-10	0.0755
145282	MIPOL1	1e-09	0.1062
11112	HIBADH	1e-09	0.12
55532	SLC30A10	3e-09	0.0677
6582	SLC22A2	5e-09	0.2016
157680	VPS13B	7e-09	0.5403
846	CASR	1e-08	0.0684
161882	ZFPM1	2e-08	0.0657
3062	HCRTR2	2e-08	0.1446
2037	EPB41L2	3e-08	0.0824
