Entrez	Gene Symbol	P-value	Beta
221981	THSD7A	1e-07	1.33
80790	CMIP	2e-07	1.65
4685	NCAM2	9e-07	2.0
23090	ZNF423	1e-06	1.21
221895	JAZF1	1e-06	1.51
56926	NCLN	1e-06	1.69
5793	PTPRG	2e-06	1.57
114884	OSBPL10	2e-06	1.28
8672	EIF4G3	2e-06	1.89
3428	IFI16	2e-06	1.29
8470	SORBS2	2e-06	2.9
9972	NUP153	3e-06	1.48
266722	HS6ST3	3e-06	1.53
135138	PACRG	3e-06	1.24
55208	DCUN1D2	3e-06	1.86
3790	KCNS3	3e-06	1.27
1112	FOXN3	4e-06	1.22
65109	UPF3B	4e-06	1.87
89778	SERPINB11	4e-06	1.25
151887	CCDC80	4e-06	2.33
80129	CCDC170	4e-06	1.61
23331	TTC28	5e-06	1.66
10507	SEMA4D	5e-06	1.23
84433	CARD11	5e-06	1.6
2066	ERBB4	6e-06	1.46
10902	BRD8	7e-06	1.48
10579	TACC2	7e-06	1.7
7326	UBE2G1	7e-06	1.56
84059	ADGRV1	7e-06	1.63
124540	MSI2	7e-06	1.59
6445	SGCG	7e-06	1.62
54212	SNTG1	8e-06	2.53
2737	GLI3	8e-06	1.96
5450	POU2AF1	8e-06	1.54
5799	PTPRN2	8e-06	1.24
7074	TIAM1	8e-06	1.18
2122	MECOM	8e-06	1.83
4045	LSAMP	9e-06	1.29
23281	MTUS2	9e-06	4.82
23321	TRIM2	9e-06	1.27
