Entrez	Gene Symbol	P-value	Beta
64116	SLC39A8	8e-19	1.1
7039	TGFA	4e-16	1.05
7040	TGFB1	2e-15	1.16
55245	UQCC1	4e-14	1.04
57153	SLC44A2	1e-13	1.04
4052	LTBP1	3e-13	1.04
1301	COL11A1	1e-11	1.06
10180	RBM6	9e-11	1.04
1780	DYNC1I1	2e-10	1.04
1800	DPEP1	2e-10	1.04
25987	TSKU	7e-10	1.04
8738	CRADD	9e-10	1.03
29945	ANAPC4	2e-09	1.04
65059	RAPH1	2e-09	1.03
10198	MPHOSPH9	7e-09	1.04
8347	H2BC4	9e-09	1.06
169792	GLIS3	1e-08	1.03
80274	SCUBE1	2e-08	1.68
4137	MAPT	2e-08	1.83
11052	CPSF6	2e-08	1.04
55083	KIF26B	2e-08	1.04
85019	TMEM241	3e-08	1.03
