Entrez	Gene Symbol	P-value	Beta
54897	CASZ1	8e-67	0.2388
1879	EBF1	1e-18	0.12
51564	HDAC7	1e-17	0.1323
4773	NFATC2	1e-16	0.1499
5534	PPP3R1	6e-16	0.1182
3866	KRT15	2e-12	0.4011
84159	ARID5B	1e-11	0.1989
57609	DIP2B	4e-11	0.0971
129804	FBLN7	1e-10	0.0969
8751	ADAM15	4e-10	0.1209
7484	WNT9B	4e-10	0.0843
23400	ATP13A2	7e-10	0.0828
8406	SRPX	1e-09	0.1524
395	ARHGAP6	2e-09	0.0788
3655	ITGA6	3e-09	0.094
1797	DXO	3e-09	0.1302
7049	TGFBR3	4e-09	0.0866
8506	CNTNAP1	6e-09	0.3228
7042	TGFB2	2e-08	0.7744
8496	PPFIBP1	2e-08	0.1022
90007	MIDN	2e-08	0.0771
5606	MAP2K3	3e-08	0.0749
57511	COG6	4e-08	0.0765
