Entrez	Gene Symbol	P-value	Beta
23274	CLEC16A	9e-17	1.15
965	CD58	3e-16	1.22
7813	EVI5	6e-15	1.15
100287898	TTC34	1e-14	1.14
7132	TNFRSF1A	4e-14	1.12
8740	TNFSF14	9e-14	1.16
54806	AHI1	1e-13	1.13
942	CD86	1e-11	1.21
3559	IL2RA	3e-11	1.12
11262	SP140	2e-10	1.14
6774	STAT3	2e-10	1.11
57727	NCOA5	5e-10	1.11
55765	INAVA	2e-09	1.11
51300	TIMMDC1	3e-09	1.13
10892	MALT1	3e-09	1.12
27120	DKKL1	5e-09	1.11
79970	ZNF767P	5e-09	1.11
5594	MAPK1	5e-09	1.1
57178	ZMIZ1	6e-09	1.1
10461	MERTK	1e-08	1.11
84769	MPV17L2	1e-08	1.11
10538	BATF	2e-08	1.11
3575	IL7R	2e-08	1.11
6565	SLC15A2	2e-08	1.1
60468	BACH2	4e-08	1.09
6198	RPS6KB1	9e-08	1.09
4126	MANBA	1e-07	1.09
140685	ZBTB46	1e-07	1.16
10301	DLEU1	5e-07	1.08
10055	SAE1	5e-07	1.09
55892	MYNN	7e-07	1.1
11140	CDC37	1e-06	1.08
80762	NDFIP1	2e-06	1.08
115352	FCRL3	3e-06	1.08
6239	RREB1	3e-06	1.08
23228	PLCL2	4e-06	1.08
55501	CHST12	4e-06	1.08
115701	ALPK2	4e-06	1.1
