Entrez	Gene Symbol	Ensembl ID	P-value
348	APOE	ENSG00000130203	0.0
587	BCAT2	ENSG00000105552	4.23e-151
338	APOB	ENSG00000084674	4.02e-93
255738	PCSK9	ENSG00000169174	6.14e-88
5817	PVR	ENSG00000073008	3.1800000000000002e-58
3949	LDLR	ENSG00000130164	5.73e-38
343263	MYBPHL	ENSG00000221986	2.82e-29
53345	TM6SF2	ENSG00000213996	1.32e-27
78992	YIPF2	ENSG00000130733	6.56e-26
1463	NCAN	ENSG00000130287	1.7e-25
728780	ANKDD1B	ENSG00000189045	6.0099999999999995e-25
10087	CERT1	ENSG00000113163	4.76e-24
125931	CEACAM20	ENSG00000273777	2.51e-20
64241	ABCG8	ENSG00000143921	3.69e-20
256006	ANKRD31	ENSG00000145700	6.77e-19
64240	ABCG5	ENSG00000138075	1.22e-18
134359	POC5	ENSG00000152359	6.17e-18
23460	ABCA6	ENSG00000154262	1.4e-17
1952	CELSR2	ENSG00000143126	2.25e-17
26762	HAVCR1	ENSG00000113249	2.35e-16
284612	SYPL2	ENSG00000143028	7.27e-16
11183	MAP4K5	ENSG00000012983	7.21e-15
353355	ZNF233	ENSG00000159915	3.49e-14
3837	KPNB1	ENSG00000108424	1.34e-13
7771	ZNF112	ENSG00000062370	2.66e-13
94039	ZNF101	ENSG00000181896	2.83e-13
7772	ZNF229	ENSG00000278318	9.47e-13
11129	CLASRP	ENSG00000104859	6.47e-12
6580	SLC22A1	ENSG00000175003	1.92e-11
284352	PPP1R37	ENSG00000104866	1.04e-10
54938	SARS2	ENSG00000283104	3.56e-10
84226	C2orf16	ENSG00000221843	5.45e-10
2524	FUT2	ENSG00000176920	1.09e-09
57523	NYNRIN	ENSG00000205978	1.33e-09
10019	SH2B3	ENSG00000111252	2.13e-09
675	BRCA2	ENSG00000139618	4.64e-09
23461	ABCA5	ENSG00000154265	4.84e-09
11321	GPN1	ENSG00000198522	5.78e-09
10452	TOMM40	ENSG00000130204	7.06e-09
85302	FBF1	ENSG00000188878	8.79e-07
