Entrez	Gene Symbol	P-value	Beta
7644	ZNF91	1e-27	1.09647
340990	OTOG	9e-14	1.07767
283310	OTOGL	1e-13	1.10849
7007	TECTA	5e-11	1.05106
57574	MARCHF4	5e-07	1.04269
731220	RFX8	9e-07	0.64701
29102	DROSHA	1e-06	1.04144
5271	SERPINB8	1e-06	1.2364
824	CAPN2	2e-06	5.12689
2915	GRM5	2e-06	1.41694
23637	RABGAP1	2e-06	2.9627
64072	CDH23	2e-06	0.95619
81558	FAM117A	2e-06	1.85151
55313	CPPED1	2e-06	17.07644
442117	GALNTL6	2e-06	2.02648
4869	NPM1	2e-06	1.70182
653567	TMEM236	3e-06	0.81889
10653	SPINT2	3e-06	0.01455
137868	SGCZ	3e-06	1.03603
375449	MAST4	3e-06	0.95791
89845	ABCC10	3e-06	1.04248
2674	GFRA1	4e-06	0.7539
1804	DPP6	4e-06	3.70025
54549	SDK2	4e-06	2.31637
57103	TIGAR	5e-06	4.62927
84869	CBR4	6e-06	7.33751
7982	ST7	6e-06	1.55193
54806	AHI1	6e-06	2.13763
10777	ARPP21	6e-06	1.84578
81624	DIAPH3	6e-06	0.95983
6840	SVIL	6e-06	1.25621
22998	LIMCH1	6e-06	0.7195
10006	ABI1	6e-06	1.7591
79834	PEAK1	6e-06	0.79184
81551	STMN4	6e-06	0.92524
23201	FAM168A	6e-06	1.25948
6482	ST3GAL1	6e-06	1.06375
84888	SPPL2A	7e-06	0.82382
8618	CADPS	7e-06	3.35181
157869	SBSPON	7e-06	2.45887
158219	TTC39B	7e-06	0.78986
283129	MAJIN	8e-06	0.797
151647	TAFA4	8e-06	0.60811
5588	PRKCQ	8e-06	1.13508
221711	SYCP2L	9e-06	1.85856
22999	RIMS1	9e-06	0.96696
116931	MED12L	1e-05	1.03417
