Entrez	Gene Symbol	P-value	Beta
7299	TYR	1e-43	1.497006
54849	DEF8	3e-33	1.4130281
64375	IKZF4	7.0000000000000015e-31	1.333
53347	UBASH3A	6e-29	1.354
3559	IL2RA	7e-27	1.29887
54504	CPVL	9e-26	1.837
22913	RALY	1e-19	1.6321203
27086	FOXP1	8e-19	1.2462612
8635	RNASET2	2e-18	1.2597632
3002	GZMB	9e-16	1.247
7008	TEF	3e-15	1.2637432
60468	BACH2	1e-14	1.268
8924	HERC2	9e-14	1.371
7038	TG	2e-13	1.194
840	CASP7	4e-12	1.2183236
3662	IRF4	3e-10	1.2629452
8792	TNFRSF11A	3e-10	1.205
11141	IL1RAPL1	7e-10	1.769
5878	RAB5C	7e-10	1.209
5788	PTPRC	1e-09	1.199904
9855	FARP2	4e-09	1.2545477
84159	ARID5B	7e-09	1.183
10783	NEK6	1e-08	1.152
5530	PPP3CA	3e-08	1.1645511
7325	UBE2E2	3e-08	1.1436414
2313	FLI1	4e-08	1.144
863	CBFA2T3	5e-08	1.153
5331	PLCB3	5e-08	1.1498218
133522	PPARGC1B	8e-08	1.155
64761	PARP12	1e-07	1.14
100130988	SPMIP7	2e-07	1.1363636
6775	STAT4	3e-07	1.158
9144	SYNGR2	2e-06	1.123
