Entrez	Gene Symbol	P-value	Beta
64240	ABCG5	1e-300	1.95
51626	DYNC2LI1	7e-41	0.82
987	LRBA	3.0000000000000003e-31	1.14
7104	TM4SF4	3e-30	1.13
64241	ABCG8	1.0000000000000001e-29	1.14
6822	SULT2A1	1.9999999999999997e-28	0.85
10128	LRPPRC	2e-22	1.34
3172	HNF4A	3e-21	1.29
220972	MARCHF8	8e-21	1.12
63892	THADA	2e-20	1.47
5265	SERPINA1	4e-17	1.32
6927	HNF1A	5e-17	0.91
158219	TTC39B	2e-16	0.88
130271	PLEKHH2	9e-15	1.34
6555	SLC10A2	6e-14	1.39
8028	MLLT10	8e-13	1.08
2646	GCKR	1e-12	0.93
23403	FBXO46	2e-11	1.08
290	ANPEP	2e-10	0.89
10430	TMEM147	3e-10	1.07
6928	HNF1B	9e-10	1.1
2696	GIPR	1e-09	0.91
79823	CAMKMT	3e-09	1.11
5495	PPM1B	5e-09	0.9
55107	ANO1	5e-09	1.11
9051	PSTPIP1	5e-09	1.06
10521	DDX17	8e-09	1.06
23112	TNRC6B	2e-08	1.06
9972	NUP153	4e-08	1.06
1811	SLC26A3	4e-08	0.94
