Entrez	Gene Symbol	P-value	Beta
55876	GSDMB	1e-65	1.1136974
728294	D2HGDH	5e-36	1.0953622
56946	EMSY	4e-35	1.18535
23274	CLEC16A	2e-33	1.0940201
6778	STAT6	3e-29	1.1245052
60468	BACH2	5e-27	1.0740907
10948	STARD3	8e-27	1.091298
10111	RAD50	9e-24	1.08564
6095	RORA	2e-19	1.0895382
4088	SMAD3	5e-19	1.0682961
90865	IL33	4e-18	1.5411408
3559	IL2RA	1e-17	1.2426528
7096	TLR1	4e-17	1.0640788
3566	IL4R	4e-17	1.12067
337867	UBAC2	3e-16	1.05852
85480	TSLP	1e-14	1.0506188
84162	BLTP1	5e-14	1.08175
4026	LPP	1e-13	1.0485258
54491	OTULINL	5e-13	1.08947
5890	RAD51B	7e-13	1.0479324
943	TNFRSF8	8e-13	1.2183087
221895	JAZF1	9e-13	1.05671
2720	GLB1	3e-12	1.04604
134	ADORA1	8e-12	1.0470546
25816	TNFAIP8	3e-11	1.04302
861	RUNX1	5e-11	1.06024
197370	NSMCE1	5e-11	1.04375
10154	PLXNC1	6e-11	1.06067
79718	TBL1XR1	6e-11	1.043199
919	CD247	8e-11	1.0430791
7046	TGFBR1	2e-10	1.1251758
3171	FOXA3	2e-10	1.0433948
26999	CYFIP2	2e-10	1.09052
2769	GNA15	7e-10	1.08502
5788	PTPRC	7e-10	1.0592659
8061	FOSL1	2e-09	1.0580555
50615	IL21R	3e-09	1.03829
57511	COG6	4e-09	1.0398253
255743	NPNT	4e-09	1.04312
81858	SHARPIN	1e-08	1.07539
3696	ITGB8	3e-08	1.0361835
1307	COL16A1	3e-08	1.03759
