Entrez	Gene Symbol	P-value	Beta
54897	CASZ1	1e-103	0.2466
9780	PIEZO1	9e-57	0.1769
1879	EBF1	3e-26	0.113
4773	NFATC2	2.0000000000000002e-23	0.1403
51564	HDAC7	8.000000000000001e-23	0.1225
6919	TCEA2	1e-18	0.1073
8406	SRPX	1e-13	0.1284
466	ATF1	4e-13	0.079
81606	LBH	1e-12	0.0954
84159	ARID5B	2e-12	0.1799
84910	TMEM87B	5e-12	0.0748
395	ARHGAP6	2e-11	0.072
2778	GNAS	4e-11	0.2376
54714	CNGB3	6e-11	0.071
7328	UBE2H	1e-10	0.121
284086	NEK8	2e-09	2.5339
1140	CHRNB1	3e-09	0.0649
10365	KLF2	3e-09	0.0741
8470	SORBS2	5e-09	0.0734
23400	ATP13A2	8e-09	0.0615
81846	SBF2	9e-09	0.0613
8603	FAM193A	1e-08	0.0625
219699	UNC5B	1e-08	0.092
8751	ADAM15	1e-08	0.0847
81704	DOCK8	1e-08	0.0903
5606	MAP2K3	2e-08	0.0604
5890	RAD51B	2e-08	0.0718
6345	SRL	3e-08	0.0619
5575	PRKAR1B	4e-08	0.0614
