Entrez	Gene Symbol	P-value	Beta
152110	NEK10	8e-14	0.898155
80129	CCDC170	2e-13	1.11645
79728	PALB2	1e-12	4.54031
57591	MRTFA	6e-11	1.1628
1879	EBF1	1e-09	1.09165
8028	MLLT10	5e-08	1.08436
440193	CCDC88C	6e-08	1.08453
348980	HCN1	9e-08	0.895227
595	CCND1	2e-07	1.26234
57178	ZMIZ1	2e-07	1.07761
5890	RAD51B	3e-07	0.921671
4046	LSP1	4e-07	0.927573
11101	ATE1	4e-07	1.11435
124359	CDYL2	4e-07	1.08962
79915	ATAD5	1e-06	0.922689
7436	VLDLR	1e-06	0.779251
388403	YPEL2	2e-06	1.16088
23245	ASTN2	3e-06	0.933716
120	ADD3	4e-06	1.1514
27122	DKK3	4e-06	0.925242
89874	SLC25A21	5e-06	1.0682
841	CASP8	6e-06	1.07496
168391	GALNTL5	8e-06	1.63522
23136	EPB41L3	1e-05	0.863168
5195	PEX14	1e-05	0.934209
