Entrez	Gene Symbol	P-value	Beta
3908	LAMA2	5e-20	0.493118
646960	PRSS56	1e-15	0.226793
55666	NPLOC4	8e-13	0.199899
57689	LRRC4C	1e-12	0.247477
5959	RDH5	7e-12	0.226326
56479	KCNQ5	4e-11	0.182609
50640	PNPLA8	6e-11	1.21237
92211	CDHR1	3e-08	0.150449
23141	ANKLE2	6e-08	1.6992
57492	ARID1B	1e-07	0.180428
54715	RBFOX1	2e-07	0.142948
10859	LILRB1	4e-07	1.19628
6934	TCF7L2	4e-07	0.164539
124739	USP43	5e-07	0.66766
79698	ZMAT4	6e-07	0.17953
3778	KCNMA1	7e-07	0.137089
55733	HHAT	8e-07	0.149799
1352	COX10	8e-07	0.147831
5789	PTPRD	9e-07	0.564262
157680	VPS13B	9e-07	1.22733
200959	GABRR3	1e-06	0.158515
6518	SLC2A5	1e-06	0.575984
57419	SLC24A3	1e-06	0.135378
140683	BPIFA2	1e-06	1.39192
25834	MGAT4C	1e-06	0.364231
55800	SCN3B	2e-06	0.970563
57536	KIAA1328	2e-06	1.05374
54462	CCSER2	2e-06	0.215498
2494	NR5A2	2e-06	1.33815
56899	ANKS1B	2e-06	0.39557
9781	RNF144A	2e-06	1.31844
5099	PCDH7	2e-06	0.891953
9425	CDYL	2e-06	1.22394
389177	TMEM212	3e-06	0.280461
2626	GATA4	3e-06	0.135249
9723	SEMA3E	3e-06	0.575225
2778	GNAS	3e-06	1.4061
118611	C10orf90	3e-06	1.13876
55159	RFWD3	3e-06	1.37597
29855	UBN1	3e-06	0.760465
830	CAPZA2	3e-06	1.51814
91351	DDX60L	4e-06	1.44862
10444	ZER1	4e-06	0.776757
2313	FLI1	5e-06	0.171268
651	BMP3	5e-06	0.147092
63982	ANO3	5e-06	0.515013
6252	RTN1	5e-06	0.597671
23233	EXOC6B	6e-06	1.17789
9228	DLGAP2	7e-06	0.269477
114880	OSBPL6	7e-06	0.123297
8379	MAD1L1	7e-06	0.126737
29953	TRHDE	7e-06	1.56575
392636	AGMO	7e-06	1.2076
344558	SH3RF3	8e-06	0.534685
80144	FRAS1	9e-06	1.06619
25945	NECTIN3	9e-06	0.875877
151126	ZNF385B	9e-06	0.301222
60495	HPSE2	9e-06	1.47768
55966	AJAP1	9e-06	1.25185
805	CALM2	1e-05	0.963384
4255	MGMT	1e-05	0.170232
23247	KATNIP	1e-05	1.32017
57666	FBRSL1	1e-05	1.15492
