Entrez	Gene Symbol	Ensembl ID	P-value
3043	HBB	ENSG00000244734	1.61e-98
10661	KLF1	ENSG00000105610	5.57e-50
7037	TFRC	ENSG00000072274	1.8e-36
2766	GMPR	ENSG00000137198	1.14e-31
164656	TMPRSS6	ENSG00000187045	2.2e-26
7036	TFR2	ENSG00000106327	9.85e-21
7015	TERT	ENSG00000164362	7.13e-19
4041	LRP5	ENSG00000162337	5.28e-16
8786	RGS11	ENSG00000076344	5.68e-16
11200	CHEK2	ENSG00000183765	1.43e-15
5426	POLE	ENSG00000177084	1.92e-12
51327	AHSP	ENSG00000169877	2.86e-11
63922	CHTF18	ENSG00000127586	2.93e-11
3040	HBA2	ENSG00000188536	1.1e-10
2057	EPOR	ENSG00000187266	1.63e-10
896	CCND3	ENSG00000112576	1.73e-10
9440	MED17	ENSG00000042429	2.78e-10
23253	ANKRD12	ENSG00000101745	2.8e-10
1874	E2F4	ENSG00000205250	9.87e-10
5073	PARN	ENSG00000274829	1.4e-09
4065	LY75	ENSG00000054219	1.73e-09
212	ALAS2	ENSG00000158578	1.99e-09
56997	COQ8A	ENSG00000163050	2e-09
79733	E2F8	ENSG00000129173	2.33e-09
100526664	LY75-CD302	ENSG00000248672	3.57e-09
51750	RTEL1	ENSG00000258366	6.54e-09
