Entrez	Gene Symbol	P-value	Beta
8882	ZPR1	0.0	0.2286
2646	GCKR	3.9999999999999997e-122	0.097
348	APOE	3e-95	0.1129
85440	DOCK7	1e-71	0.0742
51129	ANGPTL4	2e-62	0.2595
51085	MLXIPL	7e-58	0.084
255738	PCSK9	9e-30	0.1649
1952	CELSR2	3e-29	0.0527
3482	IGF2R	5e-21	0.0727
2590	GALNT2	2e-18	0.0367
9785	DHX38	3e-17	0.0411
4299	AFF1	2e-16	0.0322
126695	KDF1	1e-15	0.1025
1643	DDB2	2e-15	0.0327
64241	ABCG8	3e-15	0.0629
388323	GLTPD2	3e-14	0.1424
19	ABCA1	3e-14	0.0354
22837	COBLL1	1e-13	0.0308
29881	NPC1L1	2e-13	0.0395
2621	GAS6	3e-11	0.0286
84870	RSPO3	4e-11	0.0596
196	AHR	5e-11	0.0281
5265	SERPINA1	1e-10	0.0999
2222	FDFT1	3e-10	0.0264
28983	TMPRSS11E	7e-10	0.0307
8701	DNAH11	1e-09	0.0293
