Entrez	Gene Symbol	P-value	Beta
27156	RSPH14	3e-07	1.081081
164684	WBP2NL	4e-07	1.077
2241	FER	7e-07	1.0787487
3786	KCNQ3	1e-06	1.0752687
54715	RBFOX1	1e-06	1.0764263
493860	CCDC73	1e-06	1.0764263
5101	PCDH9	1e-06	1.0764263
112399	EGLN3	2e-06	1.0752687
23414	ZFPM2	2e-06	1.0729614
256586	LYSMD2	3e-06	1.0729614
53942	CNTN5	4e-06	1.072
57674	RNF213	4e-06	1.072
340348	TSPAN33	6e-06	1.071
145270	PRIMA1	6e-06	1.07
131096	KCNH8	7e-06	1.068
4978	OPCML	8e-06	1.069
80036	TRPM3	8e-06	1.068
79892	MCMBP	8e-06	1.069
2898	GRIK2	9e-06	1.067
257062	CATSPERD	9e-06	1.067
