Entrez	Gene Symbol	Ensembl ID	P-value
10019	SH2B3	ENSG00000111252	2.1e-192
81027	TUBB1	ENSG00000101162	2.5e-98
2815	GP9	ENSG00000169704	2.8e-90
4352	MPL	ENSG00000117400	1.3e-77
10788	IQGAP2	ENSG00000145703	1.7e-60
3674	ITGA2B	ENSG00000005961	2.6e-49
23495	TNFRSF13B	ENSG00000240505	4.9e-45
5794	PTPRH	ENSG00000080031	7.6e-26
1589	CYP21A2	ENSG00000235134	2.9e-18
2811	GP1BA	ENSG00000185245	9.1e-18
150468	CKAP2L	ENSG00000169607	1.6e-17
578	BAK1	ENSG00000030110	6.1e-17
283450	HECTD4	ENSG00000173064	1.3e-16
4650	MYO9B	ENSG00000099331	1e-15
8328	GFI1B	ENSG00000165702	6.2e-15
7805	LAPTM5	ENSG00000162511	6.7e-13
163259	DENND2C	ENSG00000175984	8.7e-12
7297	TYK2	ENSG00000105397	9.9e-12
345	APOC3	ENSG00000110245	2.7e-11
11200	CHEK2	ENSG00000183765	5.6e-11
342618	SLFN14	ENSG00000236320	1.3e-10
7076	TIMP1	ENSG00000102265	1.6e-10
63901	FAM111A	ENSG00000166801	1.1e-09
388931	MFSD2B	ENSG00000205639	1.6e-09
991	CDC20	ENSG00000117399	3.3e-09
83463	MXD3	ENSG00000213347	6e-09
64780	MICAL1	ENSG00000135596	9.4e-09
948	CD36	ENSG00000135218	1.1e-08
7916	PRRC2A	ENSG00000231825	1.3e-08
147687	ZNF417	ENSG00000173480	1.9e-08
9342	SNAP29	ENSG00000099940	8.5e-08
613227	HIGD1C	ENSG00000214511	1.1e-07
81579	PLA2G12A	ENSG00000123739	1.2e-07
117286	CIB3	ENSG00000141977	1.6e-07
2538	G6PC1	ENSG00000131482	2.1e-07
5341	PLEK	ENSG00000115956	2.5e-07
5739	PTGIR	ENSG00000160013	2.8e-07
170680	PSORS1C2	ENSG00000234605	3.4e-07
8877	SPHK1	ENSG00000176170	3.8e-07
7036	TFR2	ENSG00000106327	8.2e-07
9718	ECE2	ENSG00000145194	1.8e-06
29886	SNX8	ENSG00000106266	1.8e-06
3195	TLX1	ENSG00000107807	2.1e-06
2120	ETV6	ENSG00000139083	2.2e-06
1621	DBH	ENSG00000123454	2.2e-06
