Entrez	Gene Symbol	P-value	Beta
3908	LAMA2	5e-102	1.3003901
5959	RDH5	2e-51	1.146
646960	PRSS56	9e-35	1.102
79698	ZMAT4	4e-31	1.1074197
388336	SHISA6	5e-24	1.0787487
651	BMP3	2.0000000000000002e-23	1.0905125
3778	KCNMA1	3e-22	1.0764263
9414	TJP2	7e-21	1.0869565
5995	RGR	6e-19	1.0741138
5923	RASGRF1	4e-18	1.066
6934	TCF7L2	1e-16	1.078
145581	LRFN5	2e-16	1.081
4645	MYO5B	2e-16	1.0893246
50863	NTM	1e-15	1.061
8604	SLC25A12	3e-15	1.0695187
92949	ADAMTSL1	2e-14	1.058
80114	BICC1	3e-14	1.0570824
143162	FRMPD2	4e-13	1.068
2820	GPD2	6e-13	1.061
4774	NFIA	6e-13	1.0570824
2893	GRIA4	1e-11	1.055
7021	TFAP2B	2e-11	1.051
83464	APH1B	2e-11	1.06
90459	ERI1	7e-06	
