Entrez	Gene Symbol	Ensembl ID	P-value
3483	IGFALS	ENSG00000099769	3.73e-136
145741	C2CD4A	ENSG00000198535	4.390000000000001e-37
3486	IGFBP3	ENSG00000146674	2.4e-36
60676	PAPPA2	ENSG00000116183	4.3e-34
6755	SSTR5	ENSG00000162009	8.399999999999999e-30
3717	JAK2	ENSG00000096968	1.15e-22
3480	IGF1R	ENSG00000140443	1.41e-21
95	ACY1	ENSG00000243989	5.2600000000000004e-21
2691	GHRH	ENSG00000118702	1.52e-20
7559	ZNF12	ENSG00000164631	2.2e-19
126	ADH1C	ENSG00000248144	2.05e-18
2693	GHSR	ENSG00000121853	1.7e-14
10846	PDE10A	ENSG00000112541	2.57e-14
55576	STAB2	ENSG00000136011	2.74e-14
90864	SPSB3	ENSG00000162032	7.1e-14
23166	STAB1	ENSG00000010327	5.44e-13
10765	KDM5B	ENSG00000117139	1.92e-12
5053	PAH	ENSG00000171759	2.75e-12
2244	FGB	ENSG00000171564	3.52e-12
3489	IGFBP6	ENSG00000167779	5.25e-12
2538	G6PC1	ENSG00000131482	1.02e-11
50940	PDE11A	ENSG00000128655	1.65e-11
