Entrez	Gene Symbol	P-value	Beta
4026	LPP	2.9999999999999998e-40	1.29
84162	BLTP1	2e-27	1.35
6311	ATXN2	7e-21	1.2
1232	CCR3	3e-17	1.3
2113	ETS1	5e-16	1.21
150962	PUS10	4e-13	1.15
5771	PTPN2	3e-10	1.17
60468	BACH2	4e-10	1.13
57178	ZMIZ1	9e-10	1.12
23308	ICOSLG	2e-09	1.14
79258	MMEL1	3e-09	1.12
29851	ICOS	6e-09	1.14
57514	ARHGAP31	8e-09	1.13
5341	PLEK	8e-09	1.14
116028	RMI2	3e-08	1.16
4774	NFIA	1e-07	1.11
9844	ELMO1	2e-07	1.14
150223	YDJC	2e-07	1.13
23150	FRMD4B	2e-07	1.19
919	CD247	4e-07	1.1
55892	MYNN	5e-07	1.12
10301	DLEU1	7e-07	1.13
7473	WNT3	1e-06	1.11
