Entrez	Gene Symbol	P-value	Beta
5360	PLTP	1e-200	0.192637
10452	TOMM40	1e-200	0.395796
4059	BCAM	1e-200	0.388906
8854	ALDH1A2	1e-200	0.15193
1952	CELSR2	6e-52	0.0807656
51085	MLXIPL	2e-43	0.0908573
8882	ZPR1	6e-43	0.0898327
255738	PCSK9	3e-39	0.222064
4023	LPL	1.9999999999999998e-32	0.0870187
2646	GCKR	3.9999999999999996e-26	0.04822
5819	NECTIN2	6e-22	0.105088
3156	HMGCR	3e-20	0.0421247
23460	ABCA6	3e-18	0.129785
146894	CD300LG	3e-16	0.103292
64241	ABCG8	2e-15	0.0709382
57678	GPAM	1e-12	0.0351202
949	SCARB1	1e-11	0.0313869
3083	HGFAC	2e-11	0.0306935
5468	PPARG	6e-11	0.142243
85363	TRIM5	7e-11	0.0291974
90634	N4BP2L1	4e-10	0.0291764
