Entrez	Gene Symbol	P-value	Beta
8854	ALDH1A2	1e-200	0.156135
4023	LPL	4e-89	0.13964
9415	FADS2	2.9999999999999995e-70	0.0781023
8882	ZPR1	6e-50	0.0924027
9688	NUP93	2e-46	0.104975
51129	ANGPTL4	7e-41	0.201792
9388	LIPG	3e-32	0.217595
146894	CD300LG	7.999999999999999e-30	0.136015
51085	MLXIPL	6e-23	0.0617929
2590	GALNT2	2e-22	0.0420844
57678	GPAM	4e-19	0.0422264
949	SCARB1	2e-18	0.0386041
158219	TTC39B	7e-18	0.0528234
8567	MADD	2e-16	0.0424203
22837	COBLL1	2e-15	0.034095
84310	C7orf50	1e-14	0.0331257
19	ABCA1	2e-14	0.0367104
7227	TRPS1	1e-12	0.0308807
64757	MTARC1	2e-12	0.032583
84870	RSPO3	2e-12	0.0299668
80790	CMIP	2e-12	0.0323976
57572	DOCK6	5e-12	0.0546868
3931	LCAT	3e-11	0.0772503
1071	CETP	7e-11	0.0870115
220972	MARCHF8	1e-10	0.0316448
353116	RILPL1	2e-10	0.0466443
283446	MYO1H	2e-10	0.0267068
83729	INHBE	8e-10	0.0286528
55959	SULF2	8e-10	0.0321017
5468	PPARG	1e-09	0.12614
144347	RFLNA	1e-09	0.0268892
345	APOC3	1e-09	0.0301341
