Entrez	Gene Symbol	P-value	Beta
79068	FTO	9e-79	0.122
10644	IGF2BP2	3e-57	0.109
169026	SLC30A8	9.999999999999999e-55	0.108
4544	MTNR1B	3e-48	0.104
5066	PAM	4.000000000000001e-45	0.409
221895	JAZF1	2e-44	0.069
7466	WFS1	4e-37	0.084
5468	PPARG	1e-33	0.115
6928	HNF1B	4.999999999999999e-32	0.079
10363	HMG20A	6.0000000000000005e-31	0.081
116985	ARAP1	9e-31	0.1
111	ADCY5	5e-30	0.088
54826	GIN1	5.0000000000000004e-29	0.171
63892	THADA	5e-27	0.113
57178	ZMIZ1	8e-27	0.07
3767	KCNJ11	9.999999999999999e-27	0.071
6239	RREB1	3.9999999999999996e-26	0.11
23499	MACF1	3e-25	0.079
8638	OASL	6e-24	0.072
26086	GPSM1	3e-23	0.078
6480	ST6GAL1	3e-23	0.059
2646	GCKR	2e-22	0.064
3172	HNF4A	3e-21	0.166
6514	SLC2A2	6e-21	0.066
9690	UBE3C	2e-18	0.059
143187	VTI1A	2e-17	0.068
3784	KCNQ1	4e-17	0.049
1607	DGKB	3e-16	0.068
816	CAMK2B	2e-15	0.059
7325	UBE2E2	2e-15	0.063
348	APOE	3e-15	0.072
4853	NOTCH2	6e-15	0.079
6934	TCF7L2	6e-15	0.053
80790	CMIP	7e-15	0.055
134359	POC5	1e-14	0.05
137682	NDUFAF6	3e-14	0.049
5738	PTGFRN	4e-14	0.049
7021	TFAP2B	5e-14	0.062
59338	PLEKHA1	5e-14	0.048
2180	ACSL1	9e-14	0.069
4054	LTBP3	1e-13	0.061
23456	ABCB10	2e-13	0.049
8694	DGAT1	3e-13	0.05
286	ANK1	3e-13	0.05
9369	NRXN3	4e-13	0.055
53345	TM6SF2	5e-13	0.087
56172	ANKH	7e-13	0.352
9671	WSCD2	2e-12	0.052
596	BCL2	2e-12	0.048
51144	HSD17B12	2e-12	0.049
10125	RASGRP1	3e-12	0.051
84164	ASCC2	3e-12	0.08
28	ABO	4e-12	0.047
83986	FAM234A	5e-12	0.059
23140	ZZEF1	8e-12	0.047
26015	RPAP1	1e-11	0.046
2113	ETS1	1e-11	0.053
57666	FBRSL1	1e-11	0.048
4154	MBNL1	2e-11	0.043
6925	TCF4	2e-11	0.077
159989	DEUP1	2e-11	0.044
286046	XKR6	2e-11	0.043
50674	NEUROG3	2e-11	0.112
10725	NFAT5	3e-11	0.043
23177	CEP68	3e-11	0.043
2193	FARSA	4e-11	0.044
5460	POU5F1	7e-11	0.042
146691	TOM1L2	7e-11	0.044
595	CCND1	1e-10	0.135
79832	QSER1	1e-10	0.105
26	AOC1	2e-10	0.044
22913	RALY	3e-10	0.043
83723	TLCD3B	3e-10	0.041
23211	ZC3H4	3e-10	0.043
2186	BPTF	4e-10	0.05
10336	PCGF3	4e-10	0.098
6049	RNF6	5e-10	0.047
6581	SLC22A3	5e-10	0.04
169792	GLIS3	5e-10	0.04
2139	EYA2	7e-10	0.045
1395	CRHR2	1e-09	0.047
5937	RBMS1	1e-09	0.043
5184	PEPD	2e-09	0.038
5780	PTPN9	2e-09	0.046
2081	ERN1	2e-09	0.057
415116	PIM3	2e-09	0.041
54801	HAUS6	2e-09	0.039
222235	FBXL13	2e-09	0.05
1027	CDKN1B	4e-09	0.047
11124	FAF1	4e-09	0.066
57673	BEND3	5e-09	0.04
2696	GIPR	5e-09	0.037
4507	MTAP	6e-09	0.095
84561	SLC12A8	6e-09	0.037
79966	SCD5	6e-09	0.039
29128	UHRF1	7e-09	0.047
158038	LINGO2	8e-09	0.039
55799	CACNA2D3	9e-09	0.09
80339	PNPLA3	1e-08	0.044
130399	ACVR1C	1e-08	0.075
6687	SPG7	1e-08	0.053
23338	JADE2	2e-08	0.037
5003	SLC22A18AS	2e-08	0.038
5607	MAP2K5	2e-08	0.038
57497	LRFN2	2e-08	0.038
57605	PITPNM2	3e-08	0.043
1788	DNMT3A	3e-08	0.036
7323	UBE2D3	4e-08	0.035
9472	AKAP6	5e-08	0.035
29958	DMGDH	6e-08	0.037
23380	SRGAP2	6e-08	0.035
7227	TRPS1	9e-08	0.034
54622	ARL15	1e-07	0.035
26575	RGS17	2e-07	0.035
284217	LAMA1	2e-07	0.035
23017	FAIM2	3e-07	0.034
90987	ZNF251	4e-07	0.034
4763	NF1	5e-07	0.033
489	ATP2A3	5e-07	0.048
56034	PDGFC	5e-07	0.038
9866	TRIM66	6e-07	0.036
55342	STRBP	7e-07	0.046
116150	NUS1	7e-07	0.044
1769	DNAH8	1e-06	0.033
197358	NLRC3	2e-06	0.038
83938	LRMDA	2e-06	0.047
7187	TRAF3	2e-06	0.041
26207	PITPNC1	2e-06	0.058
7776	ZNF236	2e-06	0.031
161882	ZFPM1	3e-06	0.048
5236	PGM1	3e-06	0.038
57602	USP36	5e-06	0.029
90576	ZNF799	6e-06	0.036
2887	GRB10	1e-05	0.047
1487	CTBP1	1e-05	0.074
