Entrez	Gene Symbol	P-value	Beta
6928	HNF1B	5e-79	0.2307
10481	HOXB13	4e-76	2.6106
4477	MSMB	3e-53	0.2031
60678	EEFSEC	1e-27	0.9221
222546	RFX6	3e-27	0.1351
221895	JAZF1	2.0000000000000002e-23	0.1503
10653	SPINT2	3e-22	0.1181
5013	OTX1	3e-21	0.1165
63892	THADA	6e-21	0.1185
3655	ITGA6	8e-21	0.1859
3856	KRT8	1e-17	0.187
22853	LMTK2	1e-16	0.1088
50861	STMN3	3e-15	0.1117
151449	GDF7	4e-14	0.0918
10611	PDLIM5	6e-14	0.09
11015	KDELR3	5e-13	0.1541
54847	SIDT1	7e-13	0.0922
26575	RGS17	5e-12	0.0865
10979	FERMT2	3e-10	0.1182
25803	SPDEF	3e-10	0.0912
357	SHROOM2	5e-10	0.0682
55275	VPS53	6e-10	0.0745
5872	RAB13	4e-09	0.075
2677	GGCX	6e-09	0.0735
23331	TTC28	6e-09	0.711
79083	MLPH	9e-09	0.1144
4735	SEPTIN2	1e-08	0.3165
4316	MMP7	1e-08	0.0775
1488	CTBP2	2e-08	0.0821
57674	RNF213	5e-08	0.6836
