Entrez	Gene Symbol	P-value	Beta
6934	TCF7L2	1e-234	0.2972
3784	KCNQ1	1e-196	0.2678
54901	CDKAL1	1.9999999999999998e-122	0.1551
5078	PAX4	6e-105	0.3441
10644	IGF2BP2	3e-79	0.126
79068	FTO	2e-64	0.1166
169026	SLC30A8	2e-59	0.1053
6928	HNF1B	4.999999999999999e-44	0.091
26086	GPSM1	4e-37	0.1006
3118	HLA-DQA2	7e-33	0.284
286	ANK1	9.999999999999999e-33	0.1018
7325	UBE2E2	1.0000000000000001e-29	0.0881
2646	GCKR	6e-29	0.071
58516	SINHCAF	8.000000000000001e-29	0.1273
57178	ZMIZ1	9.999999999999999e-27	0.0668
116985	ARAP1	6e-25	0.1028
22837	COBLL1	9e-24	0.0786
221895	JAZF1	9.000000000000001e-23	0.0668
3767	KCNJ11	2e-22	0.0623
5468	PPARG	2e-22	0.1092
92070	CTBP1-DT	2e-22	0.0864
111	ADCY5	4e-22	0.1004
6239	RREB1	1e-21	0.0816
9861	PSMD6	1e-20	0.0693
2740	GLP1R	5e-18	0.103
162515	SLC16A11	2e-17	0.1337
6480	ST6GAL1	3e-17	0.053
6049	RNF6	6e-17	0.057
26053	AUTS2	1e-16	0.0586
9690	UBE3C	2e-15	0.0511
23456	ABCB10	3e-15	0.0539
23140	ZZEF1	2e-14	0.0581
100505573	INAFM2	4e-14	0.0623
5066	PAM	5e-14	0.407
5184	PEPD	5e-14	0.0488
63892	THADA	6e-14	0.1062
55054	ATG16L1	6e-14	0.2832
596	BCL2	1e-13	0.0472
9671	WSCD2	2e-13	0.0486
595	CCND1	5e-13	0.1893
54939	COMMD4	6e-13	0.062
55930	MYO5C	8e-13	0.1063
84159	ARID5B	1e-12	0.0727
222234	FAM185A	2e-12	0.0786
28	ABO	4e-12	0.0443
7021	TFAP2B	5e-12	0.0565
56850	GRIPAP1	5e-12	0.0369
221037	JMJD1C	7e-12	0.0726
2264	FGFR4	7e-12	0.0465
4763	NF1	8e-12	0.0432
2330	FMO5	9e-12	0.0557
22866	CNKSR2	2e-11	0.0409
10087	CERT1	2e-11	0.0438
80790	CMIP	2e-11	0.0446
57794	SUGP1	2e-11	0.0552
10075	HUWE1	3e-11	0.0331
2139	EYA2	5e-11	0.0829
2645	GCK	9e-11	0.0411
57666	FBRSL1	1e-10	0.052
2113	ETS1	1e-10	0.0493
26	AOC1	2e-10	0.0421
5738	PTGFRN	3e-10	0.042
3097	HIVEP2	4e-10	0.0465
6344	SCTR	5e-10	0.1358
83938	LRMDA	7e-10	0.0387
55779	CFAP44	7e-10	0.0413
28231	SLCO4A1	8e-10	0.0411
9439	MED23	9e-10	0.0438
253782	CERS6	1e-09	0.041
256815	C10orf67	1e-09	0.1263
4853	NOTCH2	1e-09	0.083
9866	TRIM66	2e-09	0.0407
56171	DNAH7	2e-09	0.0385
23017	FAIM2	3e-09	0.0394
6599	SMARCC1	3e-09	0.0876
6506	SLC1A2	3e-09	0.0807
56172	ANKH	5e-09	0.0449
137682	NDUFAF6	5e-09	0.0381
23211	ZC3H4	7e-09	0.0431
10198	MPHOSPH9	8e-09	0.0428
84561	SLC12A8	8e-09	0.0373
54622	ARL15	9e-09	0.0478
26122	EPC2	1e-08	0.0465
846	CASR	1e-08	0.0429
1756	DMD	1e-08	0.0301
90576	ZNF799	1e-08	0.0397
55534	MAML3	1e-08	0.039
79966	SCD5	1e-08	0.0437
133418	EMB	2e-08	0.0933
26207	PITPNC1	2e-08	0.0495
10043	TOM1	2e-08	0.0369
6660	SOX5	2e-08	0.0395
8633	UNC5C	2e-08	0.0371
6581	SLC22A3	2e-08	0.0364
79823	CAMKMT	2e-08	0.0421
4137	MAPT	3e-08	0.0369
92017	SNX29	3e-08	0.2321
23139	MAST2	3e-08	0.1792
57497	LRFN2	3e-08	0.0378
374378	GALNT18	3e-08	0.4426
8379	MAD1L1	3e-08	0.0454
7145	TNS1	4e-08	0.0738
23142	DCUN1D4	4e-08	0.0366
27145	FILIP1	4e-08	0.0468
9846	GAB2	4e-08	0.0394
2813	GP2	5e-08	0.0832
