Entrez	Gene Symbol	P-value	Beta
8029	CUBN	3e-126	0.2008
9784	SNX17	1e-18	0.0182
1373	CPS1	4e-18	0.0187
2628	GATM	9e-16	0.0179
54922	RASIP1	2e-14	0.0155
130026	ICA1L	3e-14	0.0191
10818	FRS2	4e-14	0.0156
4306	NR3C2	5e-14	0.0148
7301	TYRO3	2e-13	0.0148
57619	SHROOM3	5e-13	0.0145
83938	LRMDA	1e-12	0.017
4634	MYL3	8e-12	0.0261
1286	COL4A4	9e-11	0.0191
54622	ARL15	1e-10	0.0132
54535	CCHCR1	3e-10	0.0137
80267	EDEM3	3e-10	0.0474
84961	FBXL20	5e-10	0.0142
26053	AUTS2	5e-10	0.0156
81846	SBF2	6e-10	0.025
54897	CASZ1	7e-10	0.0131
8974	P4HA2	8e-10	0.0132
4926	NUMA1	9e-10	0.0123
10283	CWC27	1e-09	0.0123
23166	STAB1	4e-09	0.0115
55636	CHD7	6e-09	0.0116
9960	USP3	9e-09	0.0152
779	CACNA1S	1e-08	0.0177
10867	TSPAN9	2e-08	0.0184
64215	DNAJC1	4e-08	0.0117
1800	DPEP1	4e-08	0.0112
