Entrez	Gene Symbol	P-value	Beta
22986	SORCS3	1e-18	0.0285
54664	TMEM106B	2e-16	0.0249
1996	ELAVL4	4e-16	0.0411
3831	KLC1	4e-16	0.0271
473	RERE	6e-16	0.0253
2915	GRM5	6e-16	0.0261
153396	TMEM161B	8e-16	0.0244
56853	CELF4	8e-16	0.026
6925	TCF4	3e-15	0.0247
5079	PAX5	7e-14	0.0234
23245	ASTN2	2e-13	0.0244
54715	RBFOX1	2e-13	0.0231
8379	MAD1L1	9e-13	0.0303
1630	DCC	1e-12	0.0222
4898	NRDC	2e-12	0.0221
51319	RSRC1	3e-12	0.0211
200942	KLHDC8B	5e-12	0.0251
729993	SHISA9	7e-12	0.0249
9870	AREL1	8e-12	0.0214
83989	ARB2A	1e-11	0.026
26251	KCNG2	1e-11	0.0268
84186	ZCCHC7	1e-11	0.026
1993	ELAVL2	3e-11	0.0201
145173	B3GLCT	3e-11	0.0228
64326	COP1	4e-11	0.022
747	DAGLA	6e-11	0.0284
57706	DENND1A	7e-11	0.023
2272	FHIT	9e-11	0.0203
4522	MTHFD1	1e-10	0.0208
10463	SLC30A9	1e-10	0.0246
341019	DCDC1	3e-10	0.0203
27445	PCLO	4e-10	0.0189
5874	RAB27B	4e-10	0.0196
389432	SAMD5	7e-10	0.0187
4045	LSAMP	7e-10	0.0342
2099	ESR1	9e-10	0.0204
84181	CHD6	1e-09	0.0215
80031	SEMA6D	1e-09	0.0228
22989	MYH15	1e-09	0.0264
9760	TOX	1e-09	0.0184
6660	SOX5	1e-09	0.0307
137868	SGCZ	2e-09	0.0211
56992	KIF15	2e-09	0.0187
9649	RALGPS1	2e-09	0.02
51334	PRR16	3e-09	0.0245
3064	HTT	4e-09	0.0178
54805	CNNM2	4e-09	0.0303
199699	DAND5	4e-09	0.019
9569	GTF2IRD1	4e-09	0.022
5101	PCDH9	4e-09	0.0178
7187	TRAF3	5e-09	0.0207
92017	SNX29	5e-09	0.0207
2890	GRIA1	6e-09	0.0235
6252	RTN1	6e-09	0.0194
64839	FBXL17	6e-09	0.0188
8428	STK24	7e-09	0.0181
4915	NTRK2	7e-09	0.0216
57451	TENM2	7e-09	0.0193
28981	IFT81	7e-09	0.0269
2066	ERBB4	7e-09	0.0193
84239	ATP13A4	7e-09	0.0199
53942	CNTN5	8e-09	0.0204
493860	CCDC73	9e-09	0.0337
9420	CYP7B1	1e-08	0.0253
340481	ZDHHC21	1e-08	0.0178
1007	CDH9	1e-08	0.0172
5913	RAPSN	1e-08	0.0523
26137	ZBTB20	1e-08	0.0218
51268	PIPOX	1e-08	0.0293
51347	TAOK3	2e-08	0.0176
10125	RASGRP1	2e-08	0.0192
27332	ZNF638	2e-08	0.017
5027	P2RX7	2e-08	0.0216
2775	GNAO1	2e-08	0.0187
5727	PTCH1	2e-08	0.0257
27303	RBMS3	2e-08	0.0171
154075	SAMD3	2e-08	0.0194
89927	BMERB1	3e-08	0.0173
104	ADARB1	3e-08	0.0167
26058	GIGYF2	3e-08	0.0173
55553	SOX6	3e-08	0.0212
266722	HS6ST3	4e-08	0.0333
23613	ZMYND8	4e-08	0.0183
338645	LUZP2	4e-08	0.0172
51473	DCDC2	4e-08	0.0222
9541	CIR1	4e-08	0.0172
79832	QSER1	6e-08	0.046
5045	FURIN	8e-08	0.0173
9745	ZNF536	2e-07	0.0163
1012	CDH13	3e-07	0.0171
40	ASIC2	3e-07	0.0165
4850	CNOT4	3e-07	0.0155
81603	TRIM8	5e-07	0.0182
338707	B4GALNT4	5e-07	0.0314
2590	GALNT2	6e-07	0.0161
23359	ENTREP2	7e-07	0.0241
9960	USP3	8e-07	0.0209
255239	ANKK1	1e-06	0.0163
4482	MSRA	2e-06	0.0203
5187	PER1	2e-06	0.015
401145	CCSER1	2e-06	0.015
154215	NKAIN2	4e-06	0.0149
6886	TAL1	4e-06	0.0153
9378	NRXN1	5e-06	0.0345
4054	LTBP3	6e-06	0.0173
3084	NRG1	8e-06	0.0144
10564	ARFGEF2	8e-06	0.014
