Entrez	Gene Symbol	P-value	Beta
57419	SLC24A3	2e-59	1.1614
168850	ZNF800	7e-17	1.2204
56997	COQ8A	2e-16	1.0587
8924	HERC2	2e-15	1.1027
182	JAG1	9e-15	0.9327
51272	BET1L	3e-14	1.1363
11060	WWP2	4e-14	1.0539
54715	RBFOX1	7e-13	1.053
65981	CAPRIN2	1e-12	0.911
54897	CASZ1	1e-11	0.9422
23266	ADGRL2	1e-09	1.0565
8091	HMGA2	1e-09	0.959
54855	TENT5C	2e-09	1.0528
2218	FKTN	2e-09	1.0462
29091	STXBP6	4e-09	1.0618
8897	MTMR3	4e-09	1.0479
23268	DNMBP	6e-09	1.0413
151056	PLB1	7e-09	1.0513
28951	TRIB2	1e-08	0.961
64943	NT5DC2	1e-08	0.9605
481	ATP1B1	2e-08	1.0429
2043	EPHA4	2e-08	0.9484
56479	KCNQ5	2e-08	1.0405
55288	RHOT1	3e-08	0.9589
