Entrez	Gene Symbol	Ensembl ID	P-value
55237	VRTN	ENSG00000133980	5.43e-06
8774	NAPG	ENSG00000134265	1.21e-05
6251	RSU1	ENSG00000148484	1.67e-05
10804	GJB6	ENSG00000121742	1.98e-05
23621	BACE1	ENSG00000186318	2.37e-05
3955	LFNG	ENSG00000106003	2.92e-05
165082	ADGRF3	ENSG00000173567	2.94e-05
113878	DTX2	ENSG00000282379	3.03e-05
6164	RPL34	ENSG00000109475	4.68e-05
9212	AURKB	ENSG00000178999	4.68e-05
359	AQP2	ENSG00000167580	4.83e-05
51062	ATL1	ENSG00000198513	4.99e-05
1017	CDK2	ENSG00000123374	5.4e-05
2911	GRM1	ENSG00000152822	5.47e-05
1294	COL7A1	ENSG00000114270	5.8e-05
23196	FAM120A	ENSG00000048828	6.36e-05
222171	PRR15	ENSG00000176532	7.02e-05
7227	TRPS1	ENSG00000104447	7.28e-05
55905	RNF114	ENSG00000124226	7.67e-05
4123	MAN2C1	ENSG00000140400	7.8e-05
25849	PARM1	ENSG00000169116	7.91e-05
5050	PAFAH1B3	ENSG00000079462	8.39e-05
84301	DDI2	ENSG00000197312	8.49e-05
144811	LACC1	ENSG00000179630	8.99e-05
10516	FBLN5	ENSG00000140092	9.03e-05
55698	RADIL	ENSG00000157927	9.08e-05
