Entrez	Gene Symbol	P-value	Beta
6311	ATXN2	7e-182	0.4348
1185	CLCN6	8e-120	0.4744
57139	RGL3	2e-102	0.3458
64116	SLC39A8	5e-100	0.6118
143872	ARHGAP42	4e-85	0.3308
128611	ZNF831	7e-78	0.4471
3643	INSR	1e-73	0.4373
490	ATP2B1	2e-68	0.3492
54897	CASZ1	1e-59	0.2596
91012	CERS5	1e-57	0.2455
22978	NT5C2	2e-55	0.4247
55553	SOX6	3e-53	0.2871
4046	LSP1	2e-52	0.239
54986	ULK4	2e-51	0.3077
7482	WNT2B	9e-50	0.4241
10806	SDCCAG8	1e-48	0.2386
57480	PLEKHG1	5e-48	0.4807
4846	NOS3	2e-46	0.2367
183	AGT	7e-46	0.2164
389	RHOC	3e-45	0.2639
22834	ZNF652	1e-41	0.2099
84316	NAA38	1e-40	0.3399
81846	SBF2	2e-40	0.2558
5136	PDE1A	5e-40	0.207
23075	SWAP70	3e-37	0.1938
255743	NPNT	2e-36	0.2225
6494	SIPA1	4e-36	0.2349
285025	CCDC141	2.0000000000000003e-34	0.3219
84890	ADO	8.000000000000001e-34	0.1842
51422	PRKAG2	1e-33	0.203
1800	DPEP1	6e-33	0.2134
1456	CSNK1G3	3e-32	0.189
2982	GUCY1A1	7e-32	0.206
2201	FBN2	2e-31	0.1799
80315	CPEB4	2e-31	0.1891
9531	BAG3	7.0000000000000015e-31	0.211
898	CCNE1	3e-30	0.1768
134359	POC5	3e-29	0.1723
9351	NHERF2	4.0000000000000003e-29	0.1823
5314	PKHD1	9.000000000000001e-29	0.1676
783	CACNB2	3e-28	0.1936
79628	SH3TC2	3e-28	0.2125
4650	MYO9B	7e-28	0.1888
5493	PPL	4e-27	0.1643
2028	ENPEP	5e-27	0.2013
51312	SLC25A37	9e-27	0.1876
253461	ZBTB38	3e-26	0.3819
6541	SLC7A1	3.9999999999999996e-26	0.1856
10335	IRAG1	3e-25	0.165
55105	GPATCH2	6e-25	0.1824
7145	TNS1	7.9999999999999985e-25	0.157
776	CACNA1D	8.999999999999998e-25	0.166
3221	HOXC4	3e-24	0.1701
26579	MYEOV	3e-24	0.2437
23269	MGA	3e-24	0.1617
59343	SENP2	8.000000000000001e-24	0.1584
79875	THSD4	1.0000000000000001e-23	0.1588
63976	PRDM16	2.0000000000000002e-23	0.215
11077	HSF2BP	2.0000000000000002e-23	0.1547
121006	FAM186A	6e-23	0.423
646962	HRCT1	6e-23	0.1914
7323	UBE2D3	7.000000000000001e-23	0.1582
2122	MECOM	2e-22	0.1629
4836	NMT1	4e-22	0.1466
7042	TGFB2	4e-22	0.1603
51564	HDAC7	6e-22	0.1711
4194	MDM4	8e-22	0.1617
57546	PDP2	1e-21	0.3425
64641	EBF2	1e-21	0.1684
10846	PDE10A	2e-21	0.2845
23236	PLCB1	3e-21	0.1478
8654	PDE5A	3e-21	0.1432
627	BDNF	3e-21	0.1549
7157	TP53	3e-21	0.6654
128710	SLX4IP	4e-21	0.1906
57580	PREX1	4e-21	0.2024
221035	REEP3	2e-20	0.1393
80790	CMIP	3e-20	0.1386
58489	ABHD17C	4e-20	0.1382
147323	STARD6	9e-20	0.1418
79944	L2HGDH	1e-19	0.5099
10533	ATG7	1e-19	0.1452
144100	PLEKHA7	1e-19	0.1476
55206	SBNO1	3e-19	0.1674
7421	VDR	3e-19	0.378
22877	MLXIP	3e-19	0.1549
2078	ERG	3e-19	0.1439
7525	YES1	5e-19	0.1789
5581	PRKCE	7e-19	0.1564
7156	TOP3A	7e-19	0.1347
4140	MARK3	1e-18	0.1965
1593	CYP27A1	1e-18	0.3001
22986	SORCS3	1e-18	0.6194
5596	MAPK4	1e-18	0.1689
84133	ZNRF3	2e-18	0.1328
23383	MAU2	2e-18	0.2628
23370	ARHGEF18	3e-18	0.1566
84833	ATP5MK	5e-18	0.1893
152273	FGD5	1e-17	0.1309
222553	SLC35F1	2e-17	0.2346
55567	DNAH3	2e-17	0.1277
6546	SLC8A1	3e-17	0.1286
115	ADCY9	3e-17	0.1633
54622	ARL15	4e-17	0.1299
57553	MICAL3	4e-17	0.1387
440275	EIF2AK4	5e-17	0.1264
9612	NCOR2	8e-17	0.1728
445815	PALM2AKAP2	8e-17	0.1608
57158	JPH2	1e-16	0.1819
7015	TERT	1e-16	0.1475
1385	CREB1	1e-16	0.1252
387119	CEP85L	1e-16	0.1263
63895	PIEZO2	2e-16	0.1334
23334	SZT2	2e-16	0.1262
51196	PLCE1	2e-16	0.1484
9033	PKD2L1	2e-16	0.1648
8110	DPF3	2e-16	0.1454
3397	ID1	3e-16	0.1666
605	BCL7A	3e-16	0.1236
27129	HSPB7	3e-16	0.1263
57223	PPP4R3B	3e-16	0.124
1522	CTSZ	4e-16	0.1621
3097	HIVEP2	6e-16	0.1322
8881	CDC16	8e-16	0.1704
26084	ARHGEF26	1e-15	0.1376
11120	BTN2A1	2e-15	0.1711
27183	VPS4A	2e-15	0.1362
4881	NPR1	2e-15	0.5692
1879	EBF1	2e-15	0.1198
100507679	MUC22	3e-15	0.2627
22903	BTBD3	4e-15	0.1202
93166	PRDM6	4e-15	0.2313
23414	ZFPM2	4e-15	0.2022
4773	NFATC2	4e-15	0.1178
57016	AKR1B10	5e-15	0.1191
55107	ANO1	6e-15	0.1173
9644	SH3PXD2A	7e-15	0.1164
8645	KCNK5	8e-15	0.1347
182	JAG1	9e-15	0.2337
7205	TRIP6	9e-15	0.1481
25861	WHRN	9e-15	0.1156
222389	BEND7	1e-14	0.1258
2946	GSTM2	1e-14	0.1703
2843	GPR20	2e-14	0.3036
5747	PTK2	2e-14	0.1156
92	ACVR2A	2e-14	0.1433
2444	FRK	3e-14	0.1189
8476	CDC42BPA	3e-14	0.1284
2524	FUT2	3e-14	0.1372
2099	ESR1	4e-14	0.1836
4137	MAPT	4e-14	0.1237
3767	KCNJ11	4e-14	0.1164
2658	GDF2	5e-14	0.1821
4291	MLF1	6e-14	0.152
10818	FRS2	6e-14	0.1654
3308	HSPA4	6e-14	0.2153
253959	RALGAPA1	8e-14	0.2033
81563	C1orf21	8e-14	0.1142
4507	MTAP	1e-13	0.1123
4772	NFATC1	2e-13	0.3583
11264	PXMP4	2e-13	0.1574
10246	SLC17A2	2e-13	0.3155
10150	MBNL2	2e-13	0.1201
79987	SVEP1	2e-13	0.166
56155	TEX14	2e-13	0.1181
3693	ITGB5	2e-13	0.1118
22837	COBLL1	3e-13	0.1107
10428	CFDP1	3e-13	0.1113
57619	SHROOM3	3e-13	0.1088
81570	CLPB	3e-13	0.2114
64778	FNDC3B	3e-13	0.1184
28996	HIPK2	3e-13	0.1392
7535	ZAP70	3e-13	0.115
23371	TNS2	6e-13	0.202
9024	BRSK2	6e-13	0.1234
55843	ARHGAP15	6e-13	0.1193
1012	CDH13	7e-13	0.1272
10365	KLF2	7e-13	0.1272
6517	SLC2A4	8e-13	0.3524
65055	REEP1	9e-13	0.1126
375449	MAST4	9e-13	0.12
5789	PTPRD	1e-12	0.1125
80816	ASXL3	1e-12	0.2
10312	TCIRG1	1e-12	0.2329
51421	AMOTL2	1e-12	0.1161
63892	THADA	1e-12	0.1096
201294	UNC13D	1e-12	0.1238
613227	HIGD1C	2e-12	0.2439
4323	MMP14	2e-12	0.3578
84231	TRAF7	2e-12	0.3561
83741	TFAP2D	2e-12	0.1897
59269	HIVEP3	2e-12	0.1078
390191	OR5B12	2e-12	0.1291
23092	ARHGAP26	2e-12	0.1067
26040	SETBP1	3e-12	0.115
775	CACNA1C	3e-12	0.1098
6314	ATXN7	3e-12	0.112
10512	SEMA3C	3e-12	0.1584
23235	SIK2	3e-12	0.1354
55803	ADAP2	3e-12	0.1075
285761	DCBLD1	3e-12	0.1228
6157	RPL27A	4e-12	0.121
1373	CPS1	4e-12	0.1124
51776	MAP3K20	5e-12	0.107
197335	WDR90	5e-12	0.1084
83478	ARHGAP24	5e-12	0.1509
51458	RHCG	5e-12	0.1491
10418	SPON1	7e-12	0.1425
353497	POLN	7e-12	0.2538
51176	LEF1	7e-12	0.1066
26052	DNM3	7e-12	0.125
140685	ZBTB46	7e-12	0.1229
9487	PIGL	7e-12	0.1044
65220	NADK	8e-12	0.1192
7058	THBS2	9e-12	0.1157
256949	KANK3	9e-12	0.1035
163589	TDRD5	9e-12	0.2629
6542	SLC7A2	9e-12	0.338
58499	ZNF462	1e-11	0.114
5080	PAX6	1e-11	0.1425
23233	EXOC6B	1e-11	0.1133
4004	LMO1	1e-11	0.1126
9628	RGS6	1e-11	0.1164
9457	FHL5	1e-11	0.1331
25959	KANK2	1e-11	0.11
3360	HTR4	1e-11	0.1027
91181	NUP210L	1e-11	0.1105
59345	GNB4	1e-11	0.1319
196074	METTL15	2e-11	0.1057
10767	HBS1L	2e-11	0.1149
84314	TMEM107	2e-11	0.1072
8379	MAD1L1	2e-11	0.1044
473	RERE	2e-11	0.1061
28232	SLCO3A1	2e-11	0.1141
646	BNC1	2e-11	0.1261
2778	GNAS	2e-11	0.1065
4205	MEF2A	2e-11	0.1351
134	ADORA1	2e-11	0.2259
11214	AKAP13	3e-11	0.1003
57419	SLC24A3	3e-11	0.1112
10516	FBLN5	3e-11	0.1071
81575	APOLD1	3e-11	0.1036
23387	SIK3	3e-11	0.1497
79621	RNASEH2B	3e-11	0.1079
115557	ARHGEF25	3e-11	0.2445
10933	MORF4L1	4e-11	0.1395
51102	MECR	4e-11	0.1957
9792	SERTAD2	5e-11	0.1163
479	ATP12A	5e-11	0.1499
100506127	GVQW3	6e-11	0.1052
57608	JCAD	6e-11	0.1098
26153	KIF26A	6e-11	0.1244
403341	ZBTB34	6e-11	0.1662
115290	FBXO17	6e-11	0.1152
10456	HAX1	6e-11	0.1446
11126	CD160	8e-11	0.1213
27147	DENND2A	8e-11	0.0994
55130	ODAD2	8e-11	0.0971
8632	DNAH17	8e-11	0.1676
8814	CDKL1	8e-11	0.0995
2030	SLC29A1	8e-11	0.3239
6764	DENND2B	9e-11	0.1206
2959	GTF2B	9e-11	0.1014
5128	CDK17	1e-10	0.0967
5451	POU2F1	1e-10	0.0998
5682	PSMA1	1e-10	0.1029
1602	DACH1	1e-10	0.1783
162494	RHBDL3	1e-10	0.1234
4988	OPRM1	1e-10	0.1116
288	ANK3	1e-10	0.0964
2022	ENG	1e-10	0.1701
595	CCND1	1e-10	0.0988
1995	ELAVL3	1e-10	0.2411
116984	ARAP2	2e-10	0.101
9728	SECISBP2L	2e-10	0.0992
54828	BCAS3	2e-10	0.1214
51232	CRIM1	2e-10	0.101
10769	PLK2	2e-10	0.0994
254251	LCORL	2e-10	0.1333
9674	KIAA0040	2e-10	0.0964
10714	POLD3	2e-10	0.0958
8761	PABPC4	2e-10	0.1111
9580	SOX13	2e-10	0.1334
92105	INTS4	2e-10	0.1552
80314	EPC1	2e-10	0.1399
51542	VPS54	2e-10	0.0974
57623	ZFAT	2e-10	0.1029
157769	FAM91A1	2e-10	0.1157
11124	FAF1	3e-10	0.1652
23345	SYNE1	3e-10	0.117
6310	ATXN1	3e-10	0.1278
80114	BICC1	3e-10	0.1054
4214	MAP3K1	3e-10	0.1917
80312	TET1	3e-10	0.1301
145957	NRG4	4e-10	0.1203
84444	DOT1L	4e-10	0.0951
3762	KCNJ5	4e-10	0.347
27153	ZNF777	4e-10	0.0933
89766	UMODL1	5e-10	0.1241
7165	TPD52L2	5e-10	0.176
153396	TMEM161B	5e-10	0.2515
2202	EFEMP1	5e-10	0.1413
64750	SMURF2	5e-10	0.2005
594	BCKDHB	6e-10	0.0941
23090	ZNF423	6e-10	0.0946
8690	JRKL	6e-10	0.1233
54922	RASIP1	7e-10	0.0939
81558	FAM117A	7e-10	0.2285
5972	REN	7e-10	0.2597
4782	NFIC	7e-10	0.1503
1808	DPYSL2	7e-10	0.1
341019	DCDC1	7e-10	0.0958
128553	TSHZ2	8e-10	0.1002
4987	OPRL1	8e-10	0.0949
10144	FAM13A	8e-10	0.1117
2690	GHR	8e-10	0.1188
84310	C7orf50	9e-10	0.0977
55137	FIGN	9e-10	0.1525
10461	MERTK	9e-10	0.101
10174	SORBS3	9e-10	0.1248
7275	TUB	1e-09	0.1048
9320	TRIP12	1e-09	0.1292
1282	COL4A1	1e-09	0.1177
26575	RGS17	1e-09	0.0996
658	BMPR1B	1e-09	0.0948
84059	ADGRV1	1e-09	0.1013
3632	INPP5A	1e-09	0.1131
143503	OR51E1	1e-09	0.1459
8029	CUBN	2e-09	0.1096
4012	LNPEP	2e-09	0.4303
2917	GRM7	2e-09	0.0913
57731	SPTBN4	2e-09	0.0962
23584	VSIG2	2e-09	0.1037
677	ZFP36L1	2e-09	0.1123
9688	NUP93	2e-09	0.0994
56928	SPPL2B	2e-09	0.1076
10775	POP4	2e-09	0.1087
665	BNIP3L	2e-09	0.108
5140	PDE3B	2e-09	0.0898
64327	LMBR1	2e-09	0.0938
9412	MED21	2e-09	0.0901
23327	NEDD4L	2e-09	0.095
23335	WDR7	3e-09	0.0973
596	BCL2	3e-09	0.0957
83988	NCALD	3e-09	0.2222
54502	RBM47	3e-09	0.1453
55844	PPP2R2D	3e-09	0.0948
8945	BTRC	3e-09	0.2216
253559	CADM2	3e-09	0.0923
8609	KLF7	3e-09	0.123
9734	HDAC9	4e-09	0.0965
27327	TNRC6A	4e-09	0.1116
4624	MYH6	4e-09	0.0915
57475	PLEKHH1	4e-09	0.0888
152503	SH3D19	4e-09	0.2331
54497	HEATR5B	4e-09	0.0945
2355	FOSL2	4e-09	0.0888
27303	RBMS3	5e-09	0.1174
23245	ASTN2	5e-09	0.0881
126695	KDF1	5e-09	0.2912
23030	KDM4B	5e-09	0.0877
9213	XPR1	5e-09	0.0911
84301	DDI2	5e-09	0.0969
5879	RAC1	5e-09	0.2922
9846	GAB2	5e-09	0.1205
9828	ARHGEF17	6e-09	0.106
55689	YEATS2	6e-09	0.0869
493	ATP2B4	6e-09	0.0897
9686	VGLL4	6e-09	0.1265
9570	GOSR2	6e-09	0.1261
1911	PHC1	7e-09	0.1428
160851	DGKH	7e-09	0.0947
148	ADRA1A	7e-09	0.1
1488	CTBP2	7e-09	0.0952
23261	CAMTA1	8e-09	0.0904
5151	PDE8A	8e-09	0.1161
23515	MORC3	8e-09	0.1385
50507	NOX4	8e-09	0.1088
3164	NR4A1	8e-09	0.0867
1284	COL4A2	8e-09	0.1407
203062	TSNARE1	8e-09	0.087
64093	SMOC1	8e-09	0.0877
51684	SUFU	8e-09	0.0928
7265	TTC1	9e-09	0.0887
85449	KIAA1755	9e-09	0.0863
64855	NIBAN2	9e-09	0.0904
9814	SFI1	1e-08	0.0863
80323	CCDC68	1e-08	0.1172
7107	GPR137B	1e-08	0.1144
7223	TRPC4	1e-08	0.098
124401	ANKS3	1e-08	0.0874
54901	CDKAL1	1e-08	0.0965
151230	KLHL23	1e-08	0.1632
134957	STXBP5	1e-08	0.086
64582	GPR135	1e-08	0.0867
26053	AUTS2	1e-08	0.0971
8554	PIAS1	1e-08	0.0857
4163	MCC	1e-08	0.0854
29966	STRN3	1e-08	0.0854
8672	EIF4G3	1e-08	0.0851
8671	SLC4A4	2e-08	0.1081
57210	SLC45A4	2e-08	0.1456
57568	SIPA1L2	2e-08	0.087
64374	SIL1	2e-08	0.0925
7410	VAV2	2e-08	0.0854
11198	SUPT16H	2e-08	0.1465
84260	TCHP	2e-08	0.1693
1112	FOXN3	2e-08	0.0883
4683	NBN	2e-08	0.0881
5654	HTRA1	2e-08	0.1317
887	CCKBR	2e-08	0.1042
84959	UBASH3B	2e-08	0.0852
55924	INKA2	2e-08	0.0861
8840	CCN4	2e-08	0.0851
57602	USP36	2e-08	0.0836
80243	PREX2	3e-08	0.0902
64123	ADGRL4	3e-08	0.0899
10486	CAP2	3e-08	0.084
11030	RBPMS	3e-08	0.0841
154	ADRB2	3e-08	0.365
171024	SYNPO2	3e-08	0.1228
2534	FYN	3e-08	0.0839
6453	ITSN1	3e-08	0.0865
55691	FRMD4A	3e-08	0.0865
10014	HDAC5	3e-08	0.0959
10154	PLXNC1	3e-08	0.1552
26037	SIPA1L1	3e-08	0.0839
138715	ARID3C	3e-08	0.083
6857	SYT1	3e-08	0.0871
8850	KAT2B	3e-08	0.085
9310	ZNF235	3e-08	0.0833
5331	PLCB3	3e-08	0.3879
9497	SLC4A7	4e-08	0.2038
259217	HSPA12A	4e-08	0.0899
4302	MLLT6	4e-08	0.088
