Entrez	Gene Symbol	P-value	Beta
6622	SNCA	4e-170	
84286	TMEM175	5.000000000000001e-75	
55870	ASH1L	4e-68	
4905	NSF	1e-61	
56922	MCCC1	6e-50	
9026	HIP1R	2e-41	
4137	MAPT	1e-38	
114134	SLC2A13	3e-33	
683	BST1	6e-33	
6014	RIT2	1.9999999999999997e-28	
10457	GPNMB	3.9999999999999994e-28	
401145	CCSER1	3e-24	
3707	ITPKB	3e-24	
79993	ELOVL7	7e-22	
6456	SH3GL2	8e-21	
22997	IGSF9B	9e-20	
2580	GAK	4e-19	
57568	SIPA1L2	1e-17	
1272	CNTN1	9e-17	
22915	MMRN1	1e-16	
2643	GCH1	3e-16	
11169	WDHD1	4e-16	
7203	CCT3	1e-15	
2534	FYN	4e-15	
1508	CTSB	2e-14	
8516	ITGA8	1e-12	
9448	MAP4K4	2e-12	
22987	SV2C	3e-12	
83666	PARP9	3e-12	
1740	DLG2	5e-12	
81615	TMEM163	5e-12	
27303	RBMS3	6e-12	
10336	PCGF3	2e-11	
1182	CLCN3	2e-11	
116843	SLC18B1	3e-11	
817	CAMK2D	3e-11	
201176	ARHGAP27	4e-11	
116931	MED12L	5e-11	
64236	PDLIM2	6e-11	
5318	PKP2	7e-11	
254251	LCORL	8e-11	
83990	BRIP1	2e-10	
149095	DCST1	2e-10	
4000	LMNA	3e-10	
120892	LRRK2	3e-10	
9969	MED13	5e-10	
57545	CC2D2A	5e-10	
1859	DYRK1A	6e-10	
3674	ITGA2B	7e-10	
55833	UBAP2	1e-09	
56928	SPPL2B	1e-09	
64127	NOD2	1e-09	
8674	VAMP4	2e-09	
145282	MIPOL1	2e-09	
10654	PMVK	3e-09	
22823	MTF2	3e-09	
57605	PITPNM2	3e-09	
2194	FASN	3e-09	
51447	IP6K2	3e-09	
5290	PIK3CA	3e-09	
85366	MYLK2	4e-09	
27074	LAMP3	1e-08	
950	SCARB2	1e-08	
3839	KPNA3	2e-08	
9779	TBC1D5	2e-08	
196383	RILPL2	3e-08	
9701	PPP6R2	6e-08	
7473	WNT3	7e-08	
57619	SHROOM3	8e-08	
9879	DDX46	8e-08	
9487	PIGL	1e-07	
6945	MLX	2e-07	
55638	SYBU	2e-07	
118	ADD1	3e-07	
9870	AREL1	3e-07	
9489	PGS1	3e-07	
