Entrez	Gene Symbol	P-value	Beta
8854	ALDH1A2	0.0	0.0843028
9388	LIPG	0.0	0.336049
4023	LPL	0.0	0.0875575
348	APOE	8e-311	0.102369
19	ABCA1	9.999999999999999e-287	0.0805177
2590	GALNT2	1e-155	0.0534923
146894	CD300LG	5e-140	0.14208
338	APOB	9e-136	0.0601182
85440	DOCK7	1e-95	0.0425351
158219	TTC39B	8e-89	0.0563409
1952	CELSR2	1e-78	0.0443235
51129	ANGPTL4	7e-78	0.133106
5681	PSKH1	3.0000000000000004e-75	0.056117
7227	TRPS1	5.999999999999999e-70	0.0350594
949	SCARB1	5.0000000000000005e-68	0.0370772
57678	GPAM	2e-65	0.0375265
4607	MYBPC3	3e-63	0.0345679
220972	MARCHF8	9e-50	0.0340926
9489	PGS1	3e-49	0.0303334
29956	CERS2	1e-47	0.0343544
80790	CMIP	7e-41	0.0285198
23161	SNX13	1e-38	0.0260742
2646	GCKR	4e-38	0.025843
7332	UBE2L3	2e-37	0.0321551
64771	ILRUN	2.0000000000000003e-34	0.0376633
10948	STARD3	2.0000000000000003e-34	0.0254679
7158	TP53BP1	3e-34	0.075233
1373	CPS1	5e-34	0.025611
144347	RFLNA	2e-33	0.0240823
4018	LPA	2e-31	0.0372996
10613	ERLIN1	2.0000000000000002e-29	0.0220804
326625	MMAB	3e-29	0.0220437
4645	MYO5B	1.9999999999999997e-28	0.0319773
8289	ARID1A	1.9999999999999997e-28	0.0393519
5184	PEPD	7e-28	0.0228755
754	PTTG1IP	2e-27	0.0214868
55959	SULF2	2e-27	0.0264197
6238	RRBP1	1.9999999999999998e-26	0.0288548
28983	TMPRSS11E	5e-24	0.0230775
8398	PLA2G6	7.000000000000001e-24	0.020012
91748	MIDEAS	2e-22	0.0217249
7366	UGT2B15	2e-21	0.0188142
80339	PNPLA3	2e-21	0.0226623
80011	PSME3IP1	4e-21	0.0185871
602	BCL3	6e-21	0.0188854
3145	HMBS	1e-20	0.0192774
8856	NR1I2	2e-20	0.036854
1294	COL7A1	3e-20	0.0767464
80208	SPG11	3e-20	0.0584625
